dataset,donor,disease,tissue,subtype,n_cells,n_secretory_candidates,median_ig_fraction,n_classified_secretory,proportion_of_candidates,proportion_of_classified,proportion
GSE276503,CRSNP35,CRSwNP,Nasal_polyp,Ambiguous_secretory,129,2203,0.00014310246136233542,2201,0.05855651384475715,0.05860972285324852,0.05860972285324852
GSE276503,CRSNP35,CRSwNP,Nasal_polyp,Goblet,20,2203,6.530541164177805e-05,2201,0.009078529278256923,0.009086778736937756,0.009086778736937756
GSE276503,CRSNP35,CRSwNP,Nasal_polyp,Inflammatory_secretory,472,2203,0.00011377601563661806,2201,0.21425329096686338,0.21444797819173103,0.21444797819173103
GSE276503,CRSNP35,CRSwNP,Nasal_polyp,Mucous_glandular,2,2203,0.00010782833728703904,2201,0.0009078529278256923,0.0009086778736937755,0.0009086778736937755
GSE276503,CRSNP35,CRSwNP,Nasal_polyp,Serous_glandular,252,2203,0.00014034169277823768,2201,0.11438946890603723,0.11449341208541572,0.11449341208541572
GSE276503,CRSNP35,CRSwNP,Nasal_polyp,Surface_club,2,2203,0.0013897467572575664,2201,0.0009078529278256923,0.0009086778736937755,0.0009086778736937755
GSE276503,CRSNP35,CRSwNP,Nasal_polyp,Transitional_secretory,1324,2203,0.00011439055266456908,2201,0.6009986382206083,0.6015447523852794,0.6015447523852794
GSE276503,CRSNP36,CRSwNP,Nasal_polyp,Ambiguous_secretory,111,1981,0.00013386880856760375,1975,0.05603230691569914,0.05620253164556962,0.05620253164556962
GSE276503,CRSNP36,CRSwNP,Nasal_polyp,Goblet,11,1981,0.00018117817579459572,1975,0.005552751135790005,0.005569620253164557,0.005569620253164557
GSE276503,CRSNP36,CRSwNP,Nasal_polyp,Inflammatory_secretory,449,1981,0.00013829345871940258,1975,0.22665320545179202,0.22734177215189874,0.22734177215189874
GSE276503,CRSNP36,CRSwNP,Nasal_polyp,Mucous_glandular,4,1981,0.00022366167856934362,1975,0.0020191822311963654,0.0020253164556962027,0.0020253164556962027
GSE276503,CRSNP36,CRSwNP,Nasal_polyp,Serous_glandular,253,1981,0.00012584948401711554,1975,0.12771327612317013,0.1281012658227848,0.1281012658227848
GSE276503,CRSNP36,CRSwNP,Nasal_polyp,Surface_club,4,1981,0.00024366229617518056,1975,0.0020191822311963654,0.0020253164556962027,0.0020253164556962027
