dataset,sample,donor,disease,tissue,subtype,n_cells,n_secretory_candidates,candidate_fraction,median_ig_fraction
GSE261706,GSM8149315,CON1,Healthy,Inferior_turbinate,Transitional_secretory,1265,1718,0.7363213038416764,0.0
GSE261706,GSM8149315,CON1,Healthy,Inferior_turbinate,Ambiguous_secretory,51,1718,0.029685681024447033,0.0
GSE261706,GSM8149316,CON2,Healthy,Inferior_turbinate,Surface_club,334,4648,0.07185886402753873,0.0
GSE261706,GSM8149316,CON2,Healthy,Inferior_turbinate,Serous_glandular,759,4648,0.1632960413080895,0.0
GSE261706,GSM8149316,CON2,Healthy,Inferior_turbinate,Mucous_glandular,43,4648,0.009251290877796902,0.0
GSE261706,GSM8149316,CON2,Healthy,Inferior_turbinate,Goblet,39,4648,0.008390705679862307,0.0
GSE261706,GSM8149316,CON2,Healthy,Inferior_turbinate,Inflammatory_secretory,45,4648,0.0096815834767642,0.0
GSE261706,GSM8149316,CON2,Healthy,Inferior_turbinate,Transitional_secretory,3156,4648,0.6790017211703959,0.0
GSE261706,GSM8149316,CON2,Healthy,Inferior_turbinate,Ambiguous_secretory,272,4648,0.058519793459552494,0.0
GSE261706,GSM8149317,CON2,Healthy,Inferior_turbinate,Surface_club,410,4714,0.08697496817988969,0.0
GSE261706,GSM8149317,CON2,Healthy,Inferior_turbinate,Serous_glandular,1091,4714,0.23143826898599915,0.0
GSE261706,GSM8149317,CON2,Healthy,Inferior_turbinate,Mucous_glandular,24,4714,0.005091217649554518,0.0
GSE261706,GSM8149317,CON2,Healthy,Inferior_turbinate,Goblet,42,4714,0.008909630886720407,0.0
GSE261706,GSM8149317,CON2,Healthy,Inferior_turbinate,Inflammatory_secretory,38,4714,0.008061094611794654,0.0
GSE261706,GSM8149317,CON2,Healthy,Inferior_turbinate,Transitional_secretory,2756,4714,0.5846414934238439,0.0
GSE261706,GSM8149317,CON2,Healthy,Inferior_turbinate,Ambiguous_secretory,353,4714,0.07488332626219771,0.0
