network,source,effect_paired,se_paired,p_paired,n_paired,loo_sign_stability,effect_external,se_external,p_external,n_external_np,n_external_it,meta_effect,meta_se,meta_p,meta_fdr,direction_concordant,fisher_p,fisher_fdr,source_detected_fraction_paired,source_detected_fraction_external,replicated_priority
CollecTRI,ELF3,1.6528842681784466,1.0366473219656764,0.20909593929753884,4,1.0,0.11222618029130949,0.48289278557894877,0.8223376024438155,15,6,0.38692620227548946,0.43773093827818466,0.3767306789070768,0.4662397015436252,True,0.4746723542300548,0.5620198039978804,1.0,1.0,False
CollecTRI,NFKB1,5.647259712686656,3.3328994149130096,0.18876233869947276,4,1.0,0.2090885340815697,2.5815574381007718,0.9381179969122792,15,6,2.248308578267774,2.0409286198465795,0.27063100296705234,0.3520237858142861,True,0.4836350240672481,0.5639161961284677,1.0,1.0,False
CollecTRI,NOTCH1,1.5442951387202926,1.615394143941003,0.4096049639428984,4,1.0,0.5670057553275752,0.6742018089077596,0.4354035467898939,15,6,0.711985617141395,0.6221867446167272,0.25248769933519444,0.3321701291634117,True,0.48581542860763516,0.5639161961284677,1.0,1.0,False
CollecTRI,SP4,2.314945959537594,2.267276066548308,0.38239944557517436,4,1.0,0.7365669749125693,0.9506349901498343,0.467997109914679,15,6,0.9725586215472732,0.8766920614424669,0.26727908385133126,0.3489757094813608,True,0.4868804743455736,0.5639161961284677,1.0,1.0,False
CollecTRI,IRF4,0.7183409586763756,0.5349628410949206,0.2718995780663354,4,1.0,0.334811150122639,0.7532141312913516,0.664376829012699,15,6,0.589742933631763,0.4361501709047977,0.17632551633183347,0.2420977327413269,True,0.48976651922092795,0.564864052168137,0.3,0.7241379310344828,False
CollecTRI,LMO2,1.4834061039378714,0.9804101097037754,0.2274754929397496,4,1.0,0.13411242525639058,0.665047891802691,0.8458164405623749,15,6,0.559321158237409,0.5503711060898396,0.3095047106099984,0.39653798453054334,True,0.5095137295226794,0.5837475179299572,1.0,1.0,False
CollecTRI,TBX15,1.8249044739496754,1.299968562104318,0.2549858363594203,4,1.0,0.18355433916803698,0.667874661962687,0.7927291693551275,15,6,0.5263182109568925,0.5940592355059179,0.3756341015165151,0.4662397015436252,True,0.5253119139506031,0.5939801379964335,0.0,0.06896551724137931,False
CollecTRI,HBP1,1.7538307896620149,1.3120370416933702,0.2736442801401115,4,1.0,0.2105112513832555,0.6462958955954747,0.7560749614228628,15,6,0.5118670315995083,0.5797729274965849,0.37730380471738456,0.4662397015436252,True,0.5328680743637565,0.5986115380839603,1.0,1.0,False
CollecTRI,ID1,1.8006495888957994,1.5817437844216986,0.337636348083925,4,1.0,0.4000573832235509,0.7519890517333127,0.6117920119114759,15,6,0.658262114068178,0.6791448027633952,0.3324197248344045,0.419770893404029,True,0.5323441480554292,0.5986115380839603,1.0,1.0,False
CollecTRI,ZNF148,0.7470319692915461,0.7799021762870956,0.40879943771172844,4,1.0,0.5824682115190953,0.8392614817898881,0.5124673209409693,15,6,0.670774978206507,0.5713076324438402,0.24035308988229565,0.3186290003803613,True,0.5369494065897655,0.6012443193529414,1.0,1.0,False
CollecTRI,RARB,1.6093052076686218,1.9558033464866953,0.4709106449644042,4,0.75,0.4877909674742227,0.6495464904491461,0.47854961961953046,15,6,0.5992037704208502,0.6164393288815841,0.3310305806797357,0.41954791544025105,True,0.5611502787099091,0.626316117527834,1.0,1.0,False
CollecTRI,CRX,0.7062039254216153,1.0697090095008595,0.5562988143325438,4,0.75,0.2552662294846947,0.29714830092389,0.40742840647184086,15,6,0.28756975133795115,0.2863072328549685,0.31518119417680324,0.40092901906313944,True,0.5630804213611774,0.6264496006140431,0.0,0.0,False
CollecTRI,HOXA1,0.8231371367048738,1.3528171326544574,0.5858576000814233,4,0.75,0.7211716220181579,0.815809867363609,0.4075511141620403,15,6,0.748363914112045,0.6986108803843725,0.28407182915759865,0.36674945107660123,True,0.5807450002382364,0.6362955081721526,0.05,0.0,False
CollecTRI,SP7,1.7067571999582751,1.2525762178012718,0.26628071618130505,4,1.0,0.11353923024577108,0.844929679722304,0.8976714542441313,15,6,0.6117789139772667,0.7004638408980631,0.3824499174713948,0.46924706186206594,True,0.5811253774057811,0.6362955081721526,0.0,0.0,False
CollecTRI,GLI2,-0.42223665418712003,0.3243050469930288,0.28387450069967674,4,1.0,-0.1063582635921479,0.8390905114293474,0.9034304496987139,15,6,-0.38118351031075387,0.3024976898870013,0.207625931765948,0.27736900537072595,True,0.6054474793224092,0.660835419071147,0.85,0.5172413793103449,False
CollecTRI,GATA4,2.4969253958894226,2.249271714202004,0.3479315248804535,4,1.0,0.3932622099463444,1.2880346687853919,0.7714359967729714,15,6,0.9127492624439769,1.1177410016607596,0.4141560524192026,0.502799979428225,True,0.6214293918299808,0.6740268638657472,0.0,0.0,False
CollecTRI,SMAD1,1.8673216942905302,1.7665962749749284,0.36809149004780906,4,1.0,0.2804690283109787,0.76976747986619,0.7253508681166129,15,6,0.5336805602386974,0.7056847751320092,0.4494938417423432,0.5381483364804523,True,0.6195693014134702,0.6740268638657472,1.0,1.0,False
CollecTRI,NFATC3,-0.06030318147197869,1.1387579622104635,0.9610965788393647,4,0.5,-0.39690781916483187,0.36892506984962836,0.30502389266459423,15,6,-0.36493447931221523,0.3509662706128026,0.29843315864077646,0.38385826353051544,True,0.6528749257197994,0.7059210134345332,1.0,1.0,False
CollecTRI,FOXO1,1.855861439849578,1.8722163178276685,0.394630148181885,4,1.0,0.2947855419118542,0.9366065937099085,0.7632784985271542,15,6,0.6072667201377755,0.8376371849869545,0.4684668535060378,0.5551011346338667,True,0.6626494597177429,0.713904468972405,1.0,1.0,False
CollecTRI,KLF6,0.6551662899173551,1.0442451829938875,0.5748983936823624,4,0.75,0.6478666683093602,0.9762720821784295,0.5324966088421983,15,6,0.6512711869738772,0.7131488172298176,0.3611198985644165,0.45107395271945167,True,0.6685116992689573,0.713904468972405,1.0,1.0,False
CollecTRI,NKX2-5,1.404971311605441,1.3935756525669258,0.38763474655191515,4,1.0,0.31365548238299873,1.1018919060743004,0.7856058237642882,15,6,0.7334737461701832,0.8643427368112856,0.3961087371341081,0.4842884206657293,True,0.6666095654853096,0.713904468972405,0.0,0.0,False
CollecTRI,NR5A1,2.2271272630251455,1.9949840199369098,0.3456271808922928,4,1.0,0.1729909935799805,1.0981642051546818,0.8797552589336226,15,6,0.6506714955610411,0.962040938065762,0.4988216828200145,0.5714976895884933,True,0.6660613478395767,0.713904468972405,0.0,0.0,False
CollecTRI,NFIL3,0.07197861951843046,0.5020186727790452,0.8950803552778617,4,0.75,0.6499497134901779,0.6740541996868012,0.35821042952739157,15,6,0.2781899388287997,0.40262247109683724,0.48960017471450323,0.5646722015040604,True,0.685332916872688,0.7273778810980063,1.0,1.0,False
CollecTRI,PRDM1,0.5472717056715586,0.5563352947475882,0.39779376057317595,4,1.0,0.06084413286351956,0.3942381812739008,0.8799676093020212,15,6,0.22345346047748896,0.32166236282103416,0.48725381786014,0.5638455551157473,True,0.7174856381966627,0.7545593641825085,1.0,1.0,False
CollecTRI,DLX5,0.7336566541371177,0.857722168497919,0.4552298544045546,4,0.75,0.1985463811481656,0.8441063497655235,0.8204115175109692,15,6,0.46182053513045473,0.6016294729192462,0.44271522979568667,0.531873158018429,True,0.7413129035775918,0.773983261271983,0.95,0.9655172413793104,False
CollecTRI,MAX,1.5310210019873414,2.2423839507742236,0.5437533520952368,4,0.75,0.35298257025856045,0.8631529385277328,0.6935848604767024,15,6,0.5050056154270065,0.8055360123556737,0.5307125077649284,0.6040346305482408,True,0.744902965328238,0.773983261271983,1.0,1.0,False
CollecTRI,ZBTB16,1.4145956784426355,1.9008821640829427,0.5107567153568159,4,0.75,0.19700970427547024,0.6253782069016792,0.7634015275229694,15,6,0.3159262127018226,0.5940547215212367,0.5948552975807351,0.6625610235155586,True,0.7571448891959887,0.7843476995862636,0.9,0.9310344827586207,False
CollecTRI,ZEB2,0.2271683645798978,0.41523529788645347,0.62239080264581,4,0.75,0.1941551316873532,0.4308046350692543,0.6595878543566069,15,6,0.21126907188538763,0.29896836865085685,0.4797776171184821,0.5614225860011214,True,0.776019789315415,0.801501036128757,0.65,1.0,False
CollecTRI,SOX9,0.9264240490181784,1.3413519993496625,0.5394168653854378,4,0.75,0.22287129259601407,0.8443391061044725,0.8013613912352779,15,6,0.422529756699846,0.7145593222312959,0.5543092768231332,0.6247264162241176,True,0.794815157586313,0.813627350665279,1.0,1.0,False
CollecTRI,RARG,0.364268282107826,1.6555450925104278,0.8399706079354015,4,0.75,0.3950175460300761,0.595703152137153,0.5238203021589751,15,6,0.39149272716855216,0.5605212141701315,0.4848995138667622,0.5638455551157473,True,0.8012262359217849,0.8177707304688423,1.0,1.0,False
