network,column,source,activity,dataset,donor,disease,tissue,subtype,n_cells
PROGENy,CRSsNP_5|CRSsNP|Ethmoid|Serous_glandular,Estrogen,-1.9413425728112281,GSE235711,CRSsNP_5,CRSsNP,Ethmoid,Serous_glandular,53
PROGENy,CRSwNP_1|CRSwNP|Ethmoid|Serous_glandular,Estrogen,1.5149175032405933,GSE235711,CRSwNP_1,CRSwNP,Ethmoid,Serous_glandular,105
PROGENy,CRSwNP_2|CRSwNP|Ethmoid|Serous_glandular,Estrogen,0.38100009932582857,GSE235711,CRSwNP_2,CRSwNP,Ethmoid,Serous_glandular,68
PROGENy,CRSwNP_3|CRSwNP|Ethmoid|Serous_glandular,Estrogen,1.304141672849089,GSE235711,CRSwNP_3,CRSwNP,Ethmoid,Serous_glandular,490
PROGENy,CRSwNP_6|CRSwNP|Ethmoid|Serous_glandular,Estrogen,2.3541608601120823,GSE235711,CRSwNP_6,CRSwNP,Ethmoid,Serous_glandular,129
PROGENy,CRSwNP_1|CRSwNP|Nasal_polyp|Serous_glandular,Estrogen,-0.2458504952149567,GSE235711,CRSwNP_1,CRSwNP,Nasal_polyp,Serous_glandular,216
PROGENy,CRSwNP_2|CRSwNP|Nasal_polyp|Serous_glandular,Estrogen,0.9176977865307941,GSE235711,CRSwNP_2,CRSwNP,Nasal_polyp,Serous_glandular,378
PROGENy,CRSwNP_3|CRSwNP|Nasal_polyp|Serous_glandular,Estrogen,-0.0510375450071416,GSE235711,CRSwNP_3,CRSwNP,Nasal_polyp,Serous_glandular,2327
PROGENy,CRSwNP_4|CRSwNP|Nasal_polyp|Serous_glandular,Estrogen,0.572695429276581,GSE235711,CRSwNP_4,CRSwNP,Nasal_polyp,Serous_glandular,427
PROGENy,CRSwNP_5|CRSwNP|Nasal_polyp|Serous_glandular,Estrogen,-4.13076996732138,GSE235711,CRSwNP_5,CRSwNP,Nasal_polyp,Serous_glandular,339
PROGENy,CRSwNP_6|CRSwNP|Nasal_polyp|Serous_glandular,Estrogen,-1.2657715874104951,GSE235711,CRSwNP_6,CRSwNP,Nasal_polyp,Serous_glandular,64
PROGENy,HC_1|Healthy|Ethmoid|Serous_glandular,Hypoxia,-8.1524808244565,GSE235711,HC_1,Healthy,Ethmoid,Serous_glandular,1847
PROGENy,HC_2|Healthy|Ethmoid|Serous_glandular,Hypoxia,-7.315213380499295,GSE235711,HC_2,Healthy,Ethmoid,Serous_glandular,792
PROGENy,HC_3|Healthy|Ethmoid|Serous_glandular,Hypoxia,-5.738514161599383,GSE235711,HC_3,Healthy,Ethmoid,Serous_glandular,680
PROGENy,HC_4|Healthy|Ethmoid|Serous_glandular,Hypoxia,-4.380951891393116,GSE235711,HC_4,Healthy,Ethmoid,Serous_glandular,816
PROGENy,HC_5|Healthy|Ethmoid|Serous_glandular,Hypoxia,-1.8603650030965062,GSE235711,HC_5,Healthy,Ethmoid,Serous_glandular,242
PROGENy,CRSsNP_1|CRSsNP|Ethmoid|Serous_glandular,Hypoxia,-3.1809550298747036,GSE235711,CRSsNP_1,CRSsNP,Ethmoid,Serous_glandular,2785
PROGENy,CRSsNP_2|CRSsNP|Ethmoid|Serous_glandular,Hypoxia,-4.759377057840569,GSE235711,CRSsNP_2,CRSsNP,Ethmoid,Serous_glandular,596
PROGENy,CRSsNP_3|CRSsNP|Ethmoid|Serous_glandular,Hypoxia,-0.5320316166271798,GSE235711,CRSsNP_3,CRSsNP,Ethmoid,Serous_glandular,875
PROGENy,CRSsNP_4|CRSsNP|Ethmoid|Serous_glandular,Hypoxia,-1.3645308318272886,GSE235711,CRSsNP_4,CRSsNP,Ethmoid,Serous_glandular,1945
PROGENy,CRSsNP_5|CRSsNP|Ethmoid|Serous_glandular,Hypoxia,4.847645306409356,GSE235711,CRSsNP_5,CRSsNP,Ethmoid,Serous_glandular,53
PROGENy,CRSwNP_1|CRSwNP|Ethmoid|Serous_glandular,Hypoxia,1.0474888848623651,GSE235711,CRSwNP_1,CRSwNP,Ethmoid,Serous_glandular,105
PROGENy,CRSwNP_2|CRSwNP|Ethmoid|Serous_glandular,Hypoxia,1.8540385841691198,GSE235711,CRSwNP_2,CRSwNP,Ethmoid,Serous_glandular,68
PROGENy,CRSwNP_3|CRSwNP|Ethmoid|Serous_glandular,Hypoxia,3.2865269734325167,GSE235711,CRSwNP_3,CRSwNP,Ethmoid,Serous_glandular,490
PROGENy,CRSwNP_6|CRSwNP|Ethmoid|Serous_glandular,Hypoxia,1.418886903431386,GSE235711,CRSwNP_6,CRSwNP,Ethmoid,Serous_glandular,129
PROGENy,CRSwNP_1|CRSwNP|Nasal_polyp|Serous_glandular,Hypoxia,1.7637119645457184,GSE235711,CRSwNP_1,CRSwNP,Nasal_polyp,Serous_glandular,216
PROGENy,CRSwNP_2|CRSwNP|Nasal_polyp|Serous_glandular,Hypoxia,1.9663293774302737,GSE235711,CRSwNP_2,CRSwNP,Nasal_polyp,Serous_glandular,378
PROGENy,CRSwNP_3|CRSwNP|Nasal_polyp|Serous_glandular,Hypoxia,1.35369329741339,GSE235711,CRSwNP_3,CRSwNP,Nasal_polyp,Serous_glandular,2327
PROGENy,CRSwNP_4|CRSwNP|Nasal_polyp|Serous_glandular,Hypoxia,4.555968513174012,GSE235711,CRSwNP_4,CRSwNP,Nasal_polyp,Serous_glandular,427
PROGENy,CRSwNP_5|CRSwNP|Nasal_polyp|Serous_glandular,Hypoxia,7.106857914998435,GSE235711,CRSwNP_5,CRSwNP,Nasal_polyp,Serous_glandular,339
PROGENy,CRSwNP_6|CRSwNP|Nasal_polyp|Serous_glandular,Hypoxia,8.083272077347942,GSE235711,CRSwNP_6,CRSwNP,Nasal_polyp,Serous_glandular,64
PROGENy,HC_1|Healthy|Ethmoid|Serous_glandular,JAK-STAT,-5.01628976236004,GSE235711,HC_1,Healthy,Ethmoid,Serous_glandular,1847
PROGENy,HC_2|Healthy|Ethmoid|Serous_glandular,JAK-STAT,-2.376121197148022,GSE235711,HC_2,Healthy,Ethmoid,Serous_glandular,792
PROGENy,HC_3|Healthy|Ethmoid|Serous_glandular,JAK-STAT,0.8625853664510048,GSE235711,HC_3,Healthy,Ethmoid,Serous_glandular,680
PROGENy,HC_4|Healthy|Ethmoid|Serous_glandular,JAK-STAT,-2.882728883736895,GSE235711,HC_4,Healthy,Ethmoid,Serous_glandular,816
PROGENy,HC_5|Healthy|Ethmoid|Serous_glandular,JAK-STAT,1.0529559163218587,GSE235711,HC_5,Healthy,Ethmoid,Serous_glandular,242
PROGENy,CRSsNP_1|CRSsNP|Ethmoid|Serous_glandular,JAK-STAT,-6.559914011160748,GSE235711,CRSsNP_1,CRSsNP,Ethmoid,Serous_glandular,2785
PROGENy,CRSsNP_2|CRSsNP|Ethmoid|Serous_glandular,JAK-STAT,-4.377476206207163,GSE235711,CRSsNP_2,CRSsNP,Ethmoid,Serous_glandular,596
PROGENy,CRSsNP_3|CRSsNP|Ethmoid|Serous_glandular,JAK-STAT,13.330643886904763,GSE235711,CRSsNP_3,CRSsNP,Ethmoid,Serous_glandular,875
PROGENy,CRSsNP_4|CRSsNP|Ethmoid|Serous_glandular,JAK-STAT,13.371810760764095,GSE235711,CRSsNP_4,CRSsNP,Ethmoid,Serous_glandular,1945
PROGENy,CRSsNP_5|CRSsNP|Ethmoid|Serous_glandular,JAK-STAT,8.1417637006134,GSE235711,CRSsNP_5,CRSsNP,Ethmoid,Serous_glandular,53
PROGENy,CRSwNP_1|CRSwNP|Ethmoid|Serous_glandular,JAK-STAT,-19.882890511346254,GSE235711,CRSwNP_1,CRSwNP,Ethmoid,Serous_glandular,105
PROGENy,CRSwNP_2|CRSwNP|Ethmoid|Serous_glandular,JAK-STAT,-10.3336914656265,GSE235711,CRSwNP_2,CRSwNP,Ethmoid,Serous_glandular,68
PROGENy,CRSwNP_3|CRSwNP|Ethmoid|Serous_glandular,JAK-STAT,-6.978853281795915,GSE235711,CRSwNP_3,CRSwNP,Ethmoid,Serous_glandular,490
PROGENy,CRSwNP_6|CRSwNP|Ethmoid|Serous_glandular,JAK-STAT,8.827570897522264,GSE235711,CRSwNP_6,CRSwNP,Ethmoid,Serous_glandular,129
PROGENy,CRSwNP_1|CRSwNP|Nasal_polyp|Serous_glandular,JAK-STAT,-5.811717823151735,GSE235711,CRSwNP_1,CRSwNP,Nasal_polyp,Serous_glandular,216
PROGENy,CRSwNP_2|CRSwNP|Nasal_polyp|Serous_glandular,JAK-STAT,-5.095255565277198,GSE235711,CRSwNP_2,CRSwNP,Nasal_polyp,Serous_glandular,378
PROGENy,CRSwNP_3|CRSwNP|Nasal_polyp|Serous_glandular,JAK-STAT,2.501374153679397,GSE235711,CRSwNP_3,CRSwNP,Nasal_polyp,Serous_glandular,2327
PROGENy,CRSwNP_4|CRSwNP|Nasal_polyp|Serous_glandular,JAK-STAT,12.670247575937886,GSE235711,CRSwNP_4,CRSwNP,Nasal_polyp,Serous_glandular,427
PROGENy,CRSwNP_5|CRSwNP|Nasal_polyp|Serous_glandular,JAK-STAT,-3.288440925227594,GSE235711,CRSwNP_5,CRSwNP,Nasal_polyp,Serous_glandular,339
PROGENy,CRSwNP_6|CRSwNP|Nasal_polyp|Serous_glandular,JAK-STAT,11.8444273748434,GSE235711,CRSwNP_6,CRSwNP,Nasal_polyp,Serous_glandular,64
PROGENy,HC_1|Healthy|Ethmoid|Serous_glandular,MAPK,-2.154030019450173,GSE235711,HC_1,Healthy,Ethmoid,Serous_glandular,1847
PROGENy,HC_2|Healthy|Ethmoid|Serous_glandular,MAPK,-8.328594521790228,GSE235711,HC_2,Healthy,Ethmoid,Serous_glandular,792
PROGENy,HC_3|Healthy|Ethmoid|Serous_glandular,MAPK,-3.0387820170465156,GSE235711,HC_3,Healthy,Ethmoid,Serous_glandular,680
