network,source,n_targets_measured_GSE235711,weight_l2_GSE235711,n_targets_measured_GSE276503,weight_l2_GSE276503
CollecTRI,HDAC1,82,9.055385138137417,78,8.831760866327848
CollecTRI,HDAC3,27,5.196152422706632,25,5.0
CollecTRI,HDAC4,24,4.898979485566356,21,4.58257569495584
CollecTRI,HES1,93,9.643650760992955,80,8.94427190999916
CollecTRI,HEY1,33,5.744562646538029,28,5.291502622129181
CollecTRI,HHEX,28,5.291502622129181,26,5.0990195135927845
CollecTRI,HIC1,22,4.69041575982343,21,4.58257569495584
CollecTRI,HIF1A,457,21.37755832643195,410,20.248456731316587
CollecTRI,HMGA1,73,8.54400374531753,59,7.681145747868608
CollecTRI,HMGA2,43,6.557438524302,37,6.082762530298219
CollecTRI,HNF1A,152,12.328828005937952,91,9.539392014169456
CollecTRI,HNF1B,65,8.06225774829855,41,6.4031242374328485
CollecTRI,HNF4A,279,16.703293088490067,203,14.247806848775006
CollecTRI,HOXA1,27,5.196152422706632,24,4.898979485566356
CollecTRI,HOXA10,50,7.0710678118654755,42,6.48074069840786
CollecTRI,HOXA9,40,6.324555320336759,39,6.244997998398398
CollecTRI,HR,93,9.643650760992955,80,8.94427190999916
CollecTRI,HSF1,99,9.9498743710662,92,9.591663046625438
CollecTRI,HSF2,25,5.0,25,5.0
CollecTRI,ID1,77,8.774964387392123,66,8.12403840463596
CollecTRI,ID2,65,8.06225774829855,57,7.54983443527075
CollecTRI,ID3,36,6.0,31,5.5677643628300215
CollecTRI,IKZF1,52,7.211102550927978,41,6.4031242374328485
CollecTRI,IRF1,165,12.84523257866513,142,11.916375287812984
CollecTRI,IRF2,60,7.745966692414834,52,7.211102550927978
CollecTRI,IRF3,83,9.1104335791443,66,8.12403840463596
CollecTRI,IRF4,59,7.681145747868608,50,7.0710678118654755
CollecTRI,IRF5,37,6.082762530298219,23,4.795831523312719
CollecTRI,IRF8,69,8.306623862918075,55,7.416198487095663
CollecTRI,IRF9,28,5.291502622129181,20,4.47213595499958
CollecTRI,JDP2,33,5.744562646538029,33,5.744562646538029
CollecTRI,JUN,674,25.96150997149434,561,23.68543856465402
CollecTRI,JUNB,108,10.392304845413264,86,9.273618495495704
CollecTRI,JUND,107,10.344080432788601,88,9.38083151964686
CollecTRI,KAT5,58,7.615773105863909,51,7.14142842854285
CollecTRI,KAT7,83,9.1104335791443,72,8.48528137423857
CollecTRI,KDM5B,36,6.0,34,5.830951894845301
CollecTRI,KLF10,27,5.196152422706632,26,5.0990195135927845
CollecTRI,KLF11,28,5.291502622129181,21,4.58257569495584
CollecTRI,KLF15,26,5.0990195135927845,24,4.898979485566356
CollecTRI,KLF2,66,8.12403840463596,57,7.54983443527075
CollecTRI,KLF4,129,11.357816691600547,110,10.488088481701515
CollecTRI,KLF5,76,8.717797887081348,69,8.306623862918075
CollecTRI,KLF6,60,7.745966692414834,50,7.0710678118654755
CollecTRI,KLF9,26,5.0990195135927845,22,4.69041575982343
CollecTRI,KMT2A,70,8.366600265340756,62,7.874007874011811
CollecTRI,LEF1,119,10.908712114635714,91,9.539392014169456
CollecTRI,LHX2,41,6.4031242374328485,25,5.0
CollecTRI,LITAF,25,5.0,23,4.795831523312719
CollecTRI,LMO2,30,5.477225575051661,26,5.0990195135927845
CollecTRI,MAF,64,8.0,49,7.0
CollecTRI,MAFB,47,6.855654600401044,31,5.5677643628300215
CollecTRI,MAFK,23,4.795831523312719,21,4.58257569495584
CollecTRI,MAX,49,7.0,46,6.782329983125268
CollecTRI,MAZ,48,6.928203230275509,36,6.0
CollecTRI,MBD2,89,9.433981132056603,77,8.774964387392123
CollecTRI,MECP2,34,5.830951894845301,32,5.656854249492381
CollecTRI,MEF2A,117,10.816653826391969,87,9.327379053088816
CollecTRI,MEF2C,89,9.433981132056603,57,7.54983443527075
CollecTRI,MEF2D,29,5.385164807134504,20,4.47213595499958
CollecTRI,MITF,111,10.535653752852738,98,9.899494936611665
CollecTRI,MSC,30,5.477225575051661,25,5.0
CollecTRI,MSX2,47,6.855654600401044,37,6.082762530298219
CollecTRI,MTA1,52,7.211102550927978,50,7.0710678118654755
CollecTRI,MTF1,33,5.744562646538029,30,5.477225575051661
CollecTRI,MXD1,28,5.291502622129181,22,4.69041575982343
CollecTRI,MYB,180,13.416407864998739,157,12.529964086141668
CollecTRI,MYBL2,51,7.14142842854285,47,6.855654600401044
CollecTRI,MYC,869,29.478805945967352,817,28.583211855912904
CollecTRI,MYCN,138,11.74734012447073,131,11.445523142259598
CollecTRI,MYOD1,142,11.916375287812984,119,10.908712114635714
CollecTRI,MYOG,65,8.06225774829855,44,6.6332495807108
CollecTRI,MZF1,22,4.69041575982343,22,4.69041575982343
CollecTRI,NANOG,59,7.681145747868608,42,6.48074069840786
CollecTRI,NCOA1,91,9.539392014169456,72,8.48528137423857
CollecTRI,NCOA2,63,7.937253933193772,55,7.416198487095663
CollecTRI,NCOA3,74,8.602325267042627,62,7.874007874011811
CollecTRI,NCOR1,89,9.433981132056603,74,8.602325267042627
CollecTRI,NCOR2,69,8.306623862918075,56,7.483314773547883
CollecTRI,NEUROD1,73,8.54400374531753,46,6.782329983125268
CollecTRI,NFAT5,52,7.211102550927978,46,6.782329983125268
CollecTRI,NFATC1,123,11.090536506409418,100,10.0
CollecTRI,NFATC2,94,9.695359714832659,76,8.717797887081348
CollecTRI,NFATC3,40,6.324555320336759,32,5.656854249492381
CollecTRI,NFATC4,42,6.48074069840786,33,5.744562646538029
CollecTRI,NFE2L2,201,14.177446878757825,185,13.601470508735444
CollecTRI,NFIA,61,7.810249675906654,48,6.928203230275509
CollecTRI,NFIB,26,5.0990195135927845,20,4.47213595499958
CollecTRI,NFIC,82,9.055385138137417,67,8.18535277187245
CollecTRI,NFIL3,38,6.164414002968976,32,5.656854249492381
CollecTRI,NFIX,29,5.385164807134504,22,4.69041575982343
CollecTRI,NFKB,787,28.053520278211074,693,26.324893162176366
CollecTRI,NFKB1,432,20.784609690826528,382,19.544820285692065
CollecTRI,NFKB2,78,8.831760866327848,64,8.0
CollecTRI,NFYA,93,9.643650760992955,81,9.0
CollecTRI,NFYB,40,6.324555320336759,35,5.916079783099616
CollecTRI,NFYC,23,4.795831523312719,21,4.58257569495584
CollecTRI,NKX2-1,64,8.0,52,7.211102550927978
CollecTRI,NKX2-5,73,8.54400374531753,58,7.615773105863909
CollecTRI,NKX3-1,71,8.426149773176359,63,7.937253933193772
CollecTRI,NOTCH1,68,8.246211251235321,64,8.0
CollecTRI,NR0B1,58,7.615773105863909,37,6.082762530298219
CollecTRI,NR0B2,117,10.816653826391969,87,9.327379053088816
CollecTRI,NR1H2,49,7.0,37,6.082762530298219
CollecTRI,NR1H3,136,11.661903789690601,102,10.099504938362077
CollecTRI,NR1H4,134,11.575836902790225,97,9.848857801796104
CollecTRI,NR1I2,228,15.0996688705415,197,14.035668847618199
CollecTRI,NR1I3,60,7.745966692414834,43,6.557438524302
CollecTRI,NR2C2,60,7.745966692414834,54,7.3484692283495345
CollecTRI,NR2F1,67,8.18535277187245,45,6.708203932499369
CollecTRI,NR2F2,80,8.94427190999916,60,7.745966692414834
CollecTRI,NR3C1,287,16.941074346097416,231,15.198684153570664
CollecTRI,NR3C2,55,7.416198487095663,48,6.928203230275509
CollecTRI,NR4A1,109,10.44030650891055,85,9.219544457292887
CollecTRI,NR4A2,61,7.810249675906654,48,6.928203230275509
CollecTRI,NR4A3,41,6.4031242374328485,34,5.830951894845301
CollecTRI,NR5A1,107,10.344080432788601,77,8.774964387392123
CollecTRI,NR5A2,65,8.06225774829855,40,6.324555320336759
CollecTRI,NRF1,91,9.539392014169456,80,8.94427190999916
CollecTRI,NRG1,36,6.0,34,5.830951894845301
CollecTRI,ONECUT1,34,5.830951894845301,21,4.58257569495584
CollecTRI,OTX2,44,6.6332495807108,30,5.477225575051661
CollecTRI,PAX2,24,4.898979485566356,22,4.69041575982343
CollecTRI,PAX3,114,10.677078252031311,93,9.643650760992955
CollecTRI,PAX5,68,8.246211251235321,56,7.483314773547883
CollecTRI,PAX6,167,12.922847983320086,120,10.954451150103322
CollecTRI,PAX8,34,5.830951894845301,26,5.0990195135927845
CollecTRI,PBX1,62,7.874007874011811,39,6.244997998398398
CollecTRI,PDX1,87,9.327379053088816,61,7.810249675906654
CollecTRI,PGR,130,11.40175425099138,111,10.535653752852738
CollecTRI,PITX1,40,6.324555320336759,22,4.69041575982343
CollecTRI,PITX2,142,11.916375287812984,104,10.198039027185569
CollecTRI,POU1F1,57,7.54983443527075,37,6.082762530298219
CollecTRI,POU2F1,122,11.045361017187261,92,9.591663046625438
CollecTRI,POU2F2,48,6.928203230275509,37,6.082762530298219
CollecTRI,POU3F2,30,5.477225575051661,20,4.47213595499958
CollecTRI,POU4F1,32,5.656854249492381,27,5.196152422706632
CollecTRI,POU4F2,34,5.830951894845301,24,4.898979485566356
CollecTRI,POU5F1,91,9.539392014169456,70,8.366600265340756
CollecTRI,PPARA,265,16.278820596099706,207,14.38749456993816
CollecTRI,PPARD,100,10.0,83,9.1104335791443
CollecTRI,PPARG,359,18.947295321496416,298,17.26267650163207
CollecTRI,PPARGC1A,33,5.744562646538029,24,4.898979485566356
CollecTRI,PRDM1,67,8.18535277187245,58,7.615773105863909
CollecTRI,PROX1,34,5.830951894845301,29,5.385164807134504
CollecTRI,RARA,187,13.674794331177344,158,12.569805089976535
CollecTRI,RARB,53,7.280109889280518,50,7.0710678118654755
CollecTRI,RARG,40,6.324555320336759,34,5.830951894845301
CollecTRI,RB1,33,5.744562646538029,33,5.744562646538029
CollecTRI,RBPJ,156,12.489995996796797,126,11.224972160321824
CollecTRI,REL,113,10.63014581273465,99,9.9498743710662
CollecTRI,RELA,556,23.57965224510319,485,22.02271554554524
CollecTRI,RELB,60,7.745966692414834,50,7.0710678118654755
CollecTRI,REST,81,9.0,48,6.928203230275509
CollecTRI,RFX1,23,4.795831523312719,22,4.69041575982343
CollecTRI,RFX5,24,4.898979485566356,24,4.898979485566356
CollecTRI,RORA,87,9.327379053088816,55,7.416198487095663
CollecTRI,RUNX1,195,13.96424004376894,175,13.228756555322953
CollecTRI,RUNX2,127,11.269427669584644,103,10.14889156509222
CollecTRI,RUNX3,69,8.306623862918075,63,7.937253933193772
CollecTRI,RXRA,111,10.535653752852738,80,8.94427190999916
CollecTRI,SATB1,45,6.708203932499369,40,6.324555320336759
CollecTRI,SATB2,33,5.744562646538029,26,5.0990195135927845
CollecTRI,SFPQ,29,5.385164807134504,25,5.0
CollecTRI,SIRT1,63,7.937253933193772,57,7.54983443527075
CollecTRI,SMAD1,73,8.54400374531753,62,7.874007874011811
CollecTRI,SMAD2,105,10.246950765959598,86,9.273618495495704
CollecTRI,SMAD3,187,13.674794331177344,153,12.36931687685298
CollecTRI,SMAD4,140,11.832159566199232,118,10.862780491200215
CollecTRI,SMAD5,35,5.916079783099616,30,5.477225575051661
CollecTRI,SMAD6,25,5.0,20,4.47213595499958
CollecTRI,SMAD7,66,8.12403840463596,59,7.681145747868608
CollecTRI,SMARCA1,54,7.3484692283495345,44,6.6332495807108
CollecTRI,SNAI1,98,9.899494936611665,92,9.591663046625438
CollecTRI,SNAI2,49,7.0,47,6.855654600401044
CollecTRI,SOX10,38,6.164414002968976,30,5.477225575051661
CollecTRI,SOX17,46,6.782329983125268,38,6.164414002968976
CollecTRI,SOX2,89,9.433981132056603,66,8.12403840463596
CollecTRI,SOX4,24,4.898979485566356,21,4.58257569495584
CollecTRI,SOX9,104,10.198039027185569,77,8.774964387392123
CollecTRI,SP1,1321,36.345563690772494,1150,33.91164991562634
CollecTRI,SP2,23,4.795831523312719,22,4.69041575982343
CollecTRI,SP3,444,21.071307505705477,384,19.595917942265423
CollecTRI,SP4,49,7.0,44,6.6332495807108
CollecTRI,SP7,46,6.782329983125268,32,5.656854249492381
CollecTRI,SPI1,338,18.384776310850235,291,17.05872210923198
CollecTRI,SREBF1,131,11.445523142259598,106,10.295630140987
CollecTRI,SREBF2,71,8.426149773176359,56,7.483314773547883
CollecTRI,SRF,103,10.14889156509222,90,9.486832980505138
CollecTRI,SRY,42,6.48074069840786,31,5.5677643628300215
CollecTRI,SSRP1,146,12.083045973594572,114,10.677078252031311
CollecTRI,STAT1,301,17.349351572897472,277,16.64331697709324
CollecTRI,STAT2,49,7.0,40,6.324555320336759
CollecTRI,STAT3,429,20.71231517720798,373,19.313207915827967
CollecTRI,STAT4,32,5.656854249492381,27,5.196152422706632
CollecTRI,STAT5A,212,14.560219778561036,182,13.490737563232042
CollecTRI,STAT5B,105,10.246950765959598,90,9.486832980505138
CollecTRI,STAT6,127,11.269427669584644,106,10.295630140987
CollecTRI,TAF1,42,6.48074069840786,40,6.324555320336759
CollecTRI,TAL1,96,9.797958971132712,79,8.888194417315589
CollecTRI,TBP,163,12.767145334803704,139,11.789826122551595
CollecTRI,TBPL1,40,6.324555320336759,34,5.830951894845301
CollecTRI,TBX15,29,5.385164807134504,25,5.0
CollecTRI,TBX2,33,5.744562646538029,29,5.385164807134504
CollecTRI,TBX21,53,7.280109889280518,47,6.855654600401044
CollecTRI,TCF12,52,7.211102550927978,39,6.244997998398398
CollecTRI,TCF3,129,11.357816691600547,105,10.246950765959598
CollecTRI,TCF4,57,7.54983443527075,49,7.0
CollecTRI,TCF7,23,4.795831523312719,22,4.69041575982343
CollecTRI,TCF7L2,114,10.677078252031311,97,9.848857801796104
CollecTRI,TFAP2A,312,17.663521732655695,269,16.401219466856727
CollecTRI,TFAP2B,26,5.0990195135927845,21,4.58257569495584
CollecTRI,TFAP2C,34,5.830951894845301,31,5.5677643628300215
CollecTRI,TFAP4,37,6.082762530298219,36,6.0
CollecTRI,TFCP2,74,8.602325267042627,61,7.810249675906654
CollecTRI,TFDP1,31,5.5677643628300215,30,5.477225575051661
CollecTRI,TFE3,37,6.082762530298219,32,5.656854249492381
CollecTRI,THRA,84,9.16515138991168,67,8.18535277187245
CollecTRI,THRB,58,7.615773105863909,40,6.324555320336759
CollecTRI,TP53,956,30.919249667480614,894,29.899832775452108
CollecTRI,TP63,201,14.177446878757825,186,13.638181696985855
CollecTRI,TP73,126,11.224972160321824,117,10.816653826391969
CollecTRI,TTF1,60,7.745966692414834,49,7.0
CollecTRI,TWIST1,77,8.774964387392123,70,8.366600265340756
CollecTRI,TWIST2,35,5.916079783099616,34,5.830951894845301
CollecTRI,USF1,224,14.966629547095765,181,13.45362404707371
CollecTRI,USF2,114,10.677078252031311,93,9.643650760992955
CollecTRI,VDR,149,12.206555615733702,120,10.954451150103322
CollecTRI,VHL,24,4.898979485566356,24,4.898979485566356
CollecTRI,VSX2,31,5.5677643628300215,27,5.196152422706632
CollecTRI,WT1,155,12.449899597988733,131,11.445523142259598
CollecTRI,XBP1,55,7.416198487095663,51,7.14142842854285
CollecTRI,YBX1,92,9.591663046625438,85,9.219544457292887
CollecTRI,YBX3,27,5.196152422706632,23,4.795831523312719
CollecTRI,YY1,261,16.15549442140351,224,14.966629547095765
CollecTRI,ZBTB16,51,7.14142842854285,44,6.6332495807108
CollecTRI,ZBTB17,44,6.6332495807108,41,6.4031242374328485
CollecTRI,ZBTB7A,37,6.082762530298219,33,5.744562646538029
CollecTRI,ZEB1,61,7.810249675906654,59,7.681145747868608
CollecTRI,ZEB2,29,5.385164807134504,25,5.0
CollecTRI,ZNF143,29,5.385164807134504,25,5.0
CollecTRI,ZNF148,31,5.5677643628300215,28,5.291502622129181
CollecTRI,ZNF354C,28,5.291502622129181,23,4.795831523312719
CollecTRI,ZNF384,25,5.0,21,4.58257569495584
CollecTRI,ZNF699,55,7.416198487095663,42,6.48074069840786
CollecTRI,ZNF91,49,7.0,36,6.0
