paired_top_ranked_percentage,external_top_ranked_percentage,direction,overlap_p_value,minus_log10_p,p_value_underflow
7.27096147620589,41.4567821301392,Concordant decreases,9.554887138882936e-62,61.0197744384101,False
7.27096147620589,42.8811913240531,Concordant decreases,5.265190322256913e-59,58.2785859256348,False
7.27096147620589,44.305600517967,Concordant decreases,7.655112979335297e-57,56.1160483953067,False
7.27096147620589,45.7300097118809,Concordant decreases,2.301544149146477e-54,53.6379806898785,False
7.27096147620589,47.1544189057948,Concordant decreases,1.9774394580433396e-52,51.7038968041338,False
7.27096147620589,48.5788280997086,Concordant decreases,3.5382544002390257e-50,49.4512109445614,False
7.27096147620589,49.9967627063775,Concordant decreases,1.0326703109396082e-49,48.9860383086772,False
8.69537067011978,2.99773389446423,Concordant decreases,1.1518535222778912e-80,79.9386027453148,False
8.69537067011978,4.42214308837812,Concordant decreases,2.233538429986029e-87,86.6510065707107,False
8.69537067011978,5.846552282292,Concordant decreases,2.988630529097447e-91,90.5245277715088,False
8.69537067011978,7.27096147620589,Concordant decreases,9.825172848902083e-90,89.0076598005796,False
8.69537067011978,8.69537067011978,Concordant decreases,1.3515064326985637e-90,89.8691818828703,False
8.69537067011978,10.1197798640337,Concordant decreases,1.177404917974279e-88,87.929074154489,False
8.69537067011978,11.5441890579476,Concordant decreases,1.616892496634818e-86,85.7913188543486,False
8.69537067011978,12.9685982518614,Concordant decreases,9.524436281858686e-89,88.0211607192663,False
8.69537067011978,14.3930074457753,Concordant decreases,2.173864276407137e-87,86.662767574255,False
8.69537067011978,15.8174166396892,Concordant decreases,7.821430451421231e-89,88.1067138121132,False
8.69537067011978,17.2418258336031,Concordant decreases,7.074993133376554e-88,87.1502739773073,False
8.69537067011978,18.666235027517,Concordant decreases,3.80287180167174e-91,90.4198883148106,False
8.69537067011978,20.0906442214309,Concordant decreases,9.958557435112245e-89,88.0018035675346,False
8.69537067011978,21.5150534153448,Concordant decreases,4.128780449830148e-84,83.3841782103591,False
8.69537067011978,22.9394626092587,Concordant decreases,4.76033133042223e-86,85.322362818295,False
8.69537067011978,24.3638718031725,Concordant decreases,3.2373210302765416e-88,87.4898142314703,False
