gene,Full,-P1,-P2,-P3,-P6,external,change_-P1,change_-P2,change_-P3,change_-P6,max_absolute_change
SLC22A3,-2.42263932999951,-1.6363822511261,-3.23018577333268,-2.55422248094325,-2.26976681459601,-2.7938137930689675,0.786257078873409,-0.80754644333317,-0.131583150943739,0.1528725154035,0.80754644333317
ADGRG6,-2.39606191790216,-2.14040027686058,-2.39036516627015,-2.81659107910129,-2.23689114937663,-1.9081544039289355,0.255661641041584,0.0056967516320098,-0.420529161199128,0.159170768525534,0.420529161199128
TCN1,-2.3689540492603,-2.31479033889106,-2.35499176635564,-2.44028072043897,-2.36575337135554,-2.0815123200869152,0.0541637103692465,0.01396228290466,-0.0713266711786655,0.0032006779047599,0.0713266711786655
SLCO1A2,-2.32361195108332,-2.21592907803799,-2.3936378347161,-2.65327977011751,-2.03160112146166,-1.8382357337682265,0.107682873045325,-0.0700258836327863,-0.329667819034196,0.292010829621657,0.329667819034196
TCEAL2,-2.31413083121063,-1.21361399736817,-3.0855077749475,-2.60140127289883,-2.35600027962801,-2.9723228495658915,1.10051683384245,-0.771376943736876,-0.287270441688199,-0.0418694484173781,1.10051683384245
CA2,-2.24929867233816,-1.6627986197693,-2.32583125128143,-2.24281121000074,-2.76575360830117,-3.2561948676378205,0.586500052568863,-0.0765325789432674,0.0064874623374167,-0.516454935963013,0.586500052568863
ANO1,-2.24456412789937,-1.98465845176185,-2.3070464946383,-2.26864442842053,-2.4179071367768,-1.6509893710025292,0.259905676137519,-0.0624823667389305,-0.0240803005211601,-0.173343008877428,0.259905676137519
RNF128,-2.0954346500298,-2.31636949870123,-2.4674023859271,-1.9160066289569,-1.68196008653397,-1.786998233138824,-0.220934848671432,-0.371967735897298,0.179428021072902,0.413474563495829,0.413474563495829
PHLDA1,-2.08716677722235,-1.7589224089614,-2.5673801149419,-2.16587760387711,-1.85648698110901,-2.693062429260446,0.328244368260955,-0.48021333771955,-0.0787108266547523,0.230679796113347,0.48021333771955
CHST1,-2.03987053066747,-1.27804217597408,-2.7198273742233,-2.26581887218339,-1.89579370028913,-1.6626484432848716,0.761828354693394,-0.679956843555824,-0.225948341515914,0.144076830378344,0.761828354693394
KRT14,-1.96763553389033,-2.00004500556715,-2.08905143527315,-1.98196532346808,-1.79948037125294,-4.042587405890661,-0.0324094716768224,-0.121415901382822,-0.0143297895777486,0.168155162637392,0.168155162637392
PLCB1,-1.95846612838711,-2.17336975992187,-2.64871982351458,-2.0079117779883,-1.0038631521237,-2.97095645480898,-0.21490363153476,-0.690253695127465,-0.0494456496011841,0.95460297626341,0.95460297626341
GRIA2,-1.916532171764,-1.82276158677061,-1.78223728010515,-2.40279873780507,-1.65833108237516,-1.868839212270764,0.093770584993387,0.134294891658848,-0.486266566041071,0.258201089388836,0.486266566041071
KCNMA1,-1.88095471512481,-1.82833972527725,-2.22451956993983,-1.74225205712346,-1.72870750815869,-1.7395072434129526,0.0526149898475563,-0.343564854815019,0.138702658001343,0.15224720696612,0.343564854815019
TBX3,-1.87297748595877,-2.16360424367415,-1.52603467897452,-2.20201285321823,-1.6002581679682,-2.1793646104436792,-0.290626757715374,0.346942806984249,-0.329035367259453,0.272719317990578,0.346942806984249
ST3GAL5,-1.85548723856298,-1.8762693233886,-2.1081978445958,-2.33646932211098,-1.10101246415655,-1.6426219394615569,-0.0207820848256242,-0.252710606032815,-0.480982083547995,0.754474774406434,0.754474774406434
AMOTL1,-1.80374463341563,-1.7739085777819,-1.70048141115919,-2.44754848033969,-1.29304006438175,-2.2923888131796533,0.0298360556337285,0.103263222256442,-0.643803846924056,0.510704569033885,0.643803846924056
SOD3,-1.78442148464473,-1.59189988611142,-1.84476603627902,-2.14582504392968,-1.55519497225881,-1.7917174380404717,0.19252159853331,-0.06034455163429,-0.361403559284943,0.229226512385923,0.361403559284943
PADI2,-1.76342897668992,-1.74840002168267,-2.06464969708615,-2.14938511100667,-1.09128107698418,-1.5963885436334833,0.0150289550072458,-0.301220720396233,-0.38595613431675,0.672147899705738,0.672147899705738
