gene,effect_paired,se_paired,ci_low_paired,ci_high_paired,p_paired,fdr_paired,effect_external,se_external,ci_low_external,ci_high_external,p_external,fdr_external,meta_effect,meta_se,meta_ci_low,meta_ci_high,meta_p,meta_fdr,Q,heterogeneity_p,I2_percent,direction_concordant
PLCB1,-1.95846612838711,1.03791092429916,-5.26156191463658,1.34462965786236,0.155625449056536,0.481352903233789,-2.97095645480898,0.497139830553796,-4.04721778356416,-1.8946951260538,5.03331845724174e-05,0.0016128798078632,-2.78201532722609,0.448361066152229,-3.66080301688446,-1.90322763756772,5.47474155437889e-10,7.6315327894749e-09,0.774034405826819,0.378971862999998,0.0,True
PPP1R1B,-3.24547662364471,0.224005337583791,-3.95836158260207,-2.53259166468734,0.000712872716697,0.270762141721517,-3.65988578104851,0.72349406628919,-5.20563935264201,-2.11413220945502,0.0001534320891264,0.0032434904221778,-3.28172764407731,0.213983565572753,-3.70113543259991,-2.86231985555472,4.370655481422401e-53,1.8244533489342999e-50,0.299386936357876,0.584267012063651,0.0,True
QPRT,-1.63083482852514,0.882818924321003,-4.44035865246506,1.17868899541477,0.161857783082924,0.48800703062734,-1.66648141300114,0.363302340421654,-2.49464310338914,-0.838319722613139,0.0014926370748364,0.0129659490533557,-1.66131884982613,0.335966025757442,-2.31981226031071,-1.00282543934154,7.61824384886812e-07,5.30017010116073e-06,0.0013942700922527,0.970213971133691,0.0,True
RNASE1,-2.95539286109818,0.474219323139933,-4.464570393919,-1.44621532827736,0.0083311450052555,0.326680232102555,-2.05573414087325,0.762446469566771,-3.66288960832252,-0.44857867342399,0.0151809499165217,0.0543972059764178,-2.70444189740065,0.402684482910246,-3.49370348390473,-1.91518031089656,1.8673972417742098e-11,3.41729270132733e-10,1.00394094969985,0.316358788748535,0.392547958226511,True
RNF128,-2.0954346500298,0.541059955072149,-3.81732890498613,-0.373540395073471,0.0304693693779491,0.35595679340833,-1.78699823313882,0.322963232173704,-2.47777532764217,-1.09622113863548,6.61351388355777e-05,0.0019323401606722,-1.86802441691639,0.277316212328234,-2.41156419307973,-1.32448464075305,1.62715810978767e-11,3.0315388426623e-10,0.23959892678246,0.624495941122992,0.0,True
RTN1,-3.46346152456479,1.04751678301538,-6.79712744039477,-0.129795608734814,0.0455162110889925,0.370937391935072,-1.64523132433143,0.535806068947458,-2.77517088139605,-0.515291767266814,0.0068910263930523,0.0326427656452696,-2.02229000819277,0.477024878925909,-2.95725877088756,-1.08732124549799,2.24137389089878e-05,0.000103958017252,2.38804528061941,0.122266425640884,58.1247471262094,True
SLC22A3,-2.42263932999951,0.99159552633496,-5.57833884912006,0.733060189121036,0.0922388402703339,0.421229425565677,-2.79381379306897,0.335679052996274,-3.51300121309029,-2.07462637304765,7.94108386262206e-07,0.0001240818059904,-2.75565110518869,0.317954511747124,-3.37884194821305,-2.13246026216433,4.4439854053465095e-18,2.46896958940924e-16,0.125709633945202,0.72292258559107,0.0,True
SLC37A2,-2.43192829833492,0.807700763125362,-5.00239260771805,0.138536011048223,0.0571695711683911,0.384243249537214,-2.57902542506576,0.362896174323139,-3.34483553316966,-1.81321531696185,1.7880116334804e-06,0.000203321085046,-2.5543188907127,0.331020060277874,-3.20311820885734,-1.90551957256807,1.19560225118055e-14,4.03189449115362e-13,0.0275963243072884,0.868061402081919,0.0,True
SLCO1A2,-2.32361195108332,0.397288076572535,-3.58795992250485,-1.05926397966178,0.0099627590828897,0.326680232102555,-1.83823573376823,0.434075248751391,-2.76610274188384,-0.910368725652609,0.0007706602045509,0.0088737672693022,-2.10235938701017,0.293069033856831,-2.67677469336956,-1.52794408065078,7.30520030048326e-13,1.7740380289459698e-11,0.680386585976419,0.409453636427047,0.0,True
SMAD9,-1.65981903904452,0.327575900300838,-2.7023117526569,-0.617326325432129,0.0148405125276101,0.331555050552371,-1.7922609184985,0.263480766229873,-2.34484306172192,-1.23967877527508,1.99297602790323e-06,0.0002178834197693,-1.74023525831014,0.205309041626604,-2.14264097989828,-1.33782953672199,2.32719666514916e-17,1.1862558578623302e-15,0.0992533329941838,0.752727510094939,0.0,True
