gene,paired_effect,external_effect,paired_se,paired_ci_low,paired_ci_high,paired_p_value,paired_fdr,external_se,external_ci_low,external_ci_high,external_p_value,external_fdr,strong_gene,locked_40_gene_module,same_direction
SOX8,-1.9125614791247625,-1.3912919700415225,0.3668876448128557,-3.080161708813676,-0.7449612494358484,0.0137241765548278,0.3315550505523713,0.2686572670771879,-1.9542162393907727,-0.8283677006922722,5.614521149676946e-05,0.0017498175026037,True,False,True
SOX9,-0.2549136350272427,0.0882937976014242,0.2462192721531711,-1.0384932479807458,0.5286659779262604,0.3766572844281452,0.669651010877255,0.3258682235183248,-0.7031570080475863,0.8797446032504347,0.7952382945228437,0.86479338340021,False,False,False
SP1,0.1141288354355187,0.1020977660609361,0.2024634580432683,-0.5302002485692435,0.7584579194402811,0.6123469175839866,0.8170447739572407,0.1385230467923079,-0.2146592709734682,0.4188548030953404,0.4811539717025765,0.614313048656133,False,False,True
SP100,0.3080008760594985,0.2849244050257189,0.2439195083942136,-0.468259862216285,1.084261614335282,0.2959163247245599,0.6081560786382217,0.1992400383381236,-0.1645501449758985,0.7343989550273364,0.18589193220879,0.3148891680389979,False,False,True
SP110,0.5280088713139596,0.4883899136405549,0.1240612666360319,0.1331905516793028,0.9228271909486164,0.0237813656617074,0.3486156607729149,0.2483494315966117,-0.1005403737600801,1.0773202010411902,0.0905274596041129,0.1894951410638532,False,False,True
SP140,0.1587669805609168,-0.6753864657066913,0.3597050861930643,-0.9859751419859584,1.303509103107792,0.6888121604724065,0.8597534607451803,0.4696244745901716,-1.74480061139275,0.3940276799793676,0.1856640792574862,0.3145999273098188,False,False,False
SP140L,-0.0131379063845658,0.1753193112343494,0.319245057255227,-1.0291181593265488,1.0028423465574172,0.9697595619453122,0.9876925431780716,0.1326613046775631,-0.1066178813638925,0.4572565038325913,0.205466736814621,0.3389057348572356,False,False,False
SP2,0.4214536265008094,0.4012685033068539,0.0750210095549994,0.1827032918238475,0.6602039611777712,0.0111512263965469,0.3267599242582721,0.1597959934383235,0.0625312309345468,0.7400057756791609,0.0231429765217763,0.0718398697194346,False,False,True
SP2-AS1,0.6005660466331898,-0.3270776141163158,0.4668061637392803,-0.8850195044425443,2.086151597708924,0.2885454989801773,0.6009282961694516,0.3107174479548793,-0.980301259349286,0.3261460311166542,0.3065529675803696,0.4497492697529978,False,False,False
SP3,0.3190761564656594,0.2587607655195976,0.3706571024898509,-0.8605201698803311,1.49867248281165,0.4526306511911195,0.721728124866214,0.2294070899470912,-0.2630906104823,0.7806121415214952,0.289538417764187,0.4318604247816354,False,False,True
SP4,-0.5934946280727844,0.1548432464885358,0.2412329833619766,-1.361205644685673,0.1742163885401042,0.0908469632583833,0.4198684995636542,0.2175074501788269,-0.3308608985014052,0.640547391478477,0.4930593137640739,0.6250189450333851,False,False,False
SP5,0.3873275136744796,0.3872817019179764,0.827094803861567,-2.2448572889941167,3.0195123163430764,0.6714957871108469,0.8508004706152029,0.2848019553350508,-0.2088160089896024,0.9833794128255552,0.1898036096435095,0.3196620395541198,False,False,True
SP6,0.391512394010554,-0.1861092123203518,0.5937405900140509,-1.498035152976631,2.2810599409977392,0.5567380266344165,0.786136874771388,0.4046609762711832,-1.09066853529078,0.7184501106500764,0.6556451084553453,0.7608145041963208,False,False,False
SP8,-0.0564944304281647,1.9364361152459848,0.6488495403397802,-2.1214232527675305,2.0084343919112007,0.9361029902941824,0.9741550181760908,0.3405366803964667,1.1210020101900555,2.751870220301914,0.0009210015358272,0.0097953235840972,False,False,False
SPA17,1.3195297277933538,1.915593468486844,0.4163616998161339,-0.005519025448146,2.644578481034854,0.0505121356422645,0.3754208903012772,0.6267142138656233,0.5604139407256614,3.2707729962480263,0.0092664230736961,0.0393105819557108,True,False,True
SPACA6,0.8930363174296186,0.9530307215441812,0.2797217224387927,0.002836955346688,1.7832356795125492,0.0496125720255596,0.3753978737558525,0.2559670999683173,0.4128354679465884,1.4932259751417742,0.0016994484297094,0.0140631091523057,True,False,True
SPACA9,1.5200690553690968,1.7219485047260872,0.2432352380535538,0.7459859707107613,2.2941521400274323,0.0082662614034497,0.3266802321025554,0.4315832875904234,0.8125261945736686,2.631370814878505,0.0009210034724221,0.0097953235840972,True,False,True
SPAG1,1.2728160916605862,-0.036700152926377,0.3214435466868151,0.2498392641498406,2.2957929191713315,0.028759959067469,0.3559567934083303,0.2674616157345742,-0.6084811117180069,0.5350808058652528,0.8927461968102046,0.9325085588684516,False,False,False
SPAG16,0.9565003193996316,1.011980398491831,0.4281762589111265,-0.4061476337822831,2.319148272581546,0.1115921748201317,0.4379427229016589,0.2985419301476109,0.3736394546593281,1.6503213423243337,0.0042224862149718,0.0243365595902365,True,False,True
SPAG17,1.2557048808628892,2.673497480394452,0.4647523810108829,-0.2233446169570012,2.73475437868278,0.0736687236577443,0.4008340246838175,0.8336905903958474,0.7804960783790582,4.566498882409845,0.0110509946907109,0.0440803517839373,True,False,True
SPAG4,1.5410058381605751,0.8443236447213277,0.3723787654682709,0.3559304118299682,2.7260812644911825,0.0256152415427975,0.3493165958558843,0.2225451019459448,0.3729384367804731,1.3157088526621823,0.0015676506118954,0.013378769136894,True,False,True
SPAG5,1.816451406716538,0.4128201656041801,0.5531445864218248,0.0560984613707169,3.576804352062359,0.0462910596224626,0.3720236325450248,0.2866859898715168,-0.2150095492341606,1.0406498804425208,0.1765985438124769,0.3031005601846355,False,False,True
SPAG6,1.4623095517192073,3.27632119759716,0.4970157648573984,-0.1194164328189764,3.044035536257391,0.0604039590432899,0.3846433927782186,0.9982408944359984,0.9435845615246938,5.609057833669627,0.0123504962956263,0.0475681784275158,True,False,True
SPAG7,0.4765742857160391,0.6615718142499656,0.1498748638942306,-0.0003944211390537,0.953542992571132,0.0501011539679661,0.3753978737558525,0.1262980911166048,0.3811055558331899,0.9420380726667412,0.00034971935389,0.0055274575866151,False,False,True
SPAG8,1.3292906875951065,2.513887298182682,0.3338381230827804,0.2668687862274643,2.391712588962749,0.0283437909978056,0.3559567934083303,0.6927228365605937,0.981581546779605,4.046193049585759,0.0042254356126962,0.0243443554307659,True,False,True
SPAG9,0.5863120283943435,-1.830294832855768,0.0538622616151795,0.4148982729228909,0.757725783865796,0.0016591986128372,0.3087701238239953,0.3365627683619134,-2.650469609477767,-1.0101200562337684,0.0015189819130178,0.0130962387312119,True,False,False
SPARC,-1.3723458442104863,-1.187174195854391,0.3877968436426376,-2.6064884764616822,-0.1382032119592906,0.0383959033318702,0.3630306266618626,0.5062216403196528,-2.258478884406124,-0.1158695073026583,0.0319445073302339,0.0899139149994823,True,False,True
SPARCL1,-1.1997281692474595,-1.9452171298246164,1.3235891768530184,-5.411979654836852,3.012523316341932,0.4315337227702501,0.7080037231787825,0.6141906696712257,-3.339808552052245,-0.5506257075969878,0.0117682150861476,0.0460848735605525,True,False,True
SPART,0.2175702662440624,-0.3393893479094609,0.3829142524114954,-1.0010337815833743,1.436174314071499,0.6096494515502702,0.8154977942001175,0.2278767995824146,-0.8748076186320181,0.1960289228130961,0.1786773918144785,0.305689023636331,False,False,False
SPART-AS1,-0.2399754062587676,-0.2367713134191846,0.850224991687247,-2.945770789713718,2.4658199771961824,0.7961045785102914,0.9115040183650602,0.2736408683911424,-0.8189927698812302,0.3454501430428608,0.4002491265111015,0.540543107484501,False,False,True
SPAST,0.0148986318860853,0.2581223280972966,0.2668653645406198,-0.8343860615044,0.8641833252765706,0.958988746423075,0.9832503135046288,0.1488493496792647,-0.0958631416832195,0.6121077978778129,0.1276893803913402,0.2412178066893521,False,False,True
SPATA1,0.0661072815013971,0.5535687267310987,0.7129315357492944,-2.2027590503641843,2.3349736133669783,0.9319665481987546,0.972733823503677,0.3666624260472378,-0.3363103612163474,1.4434478146785448,0.1801976849322743,0.3076713495593097,False,False,True
SPATA13,0.5540428021515663,-0.4999101869776821,0.2350022957215267,-0.1938393856005956,1.3019249899037284,0.0996158933595785,0.4278326049924262,0.2379460705217966,-1.0434248968517563,0.0436045228963923,0.0669517700668539,0.1514631515414974,False,False,False
SPATA17,1.225630911374609,1.9796718890216836,0.6249730450828622,-0.7633122468512543,3.214574069600472,0.1446976702913739,0.4706900115162984,0.760769145627806,0.2891440694170641,3.670199708626303,0.025994864599653,0.0778805849607318,True,False,True
SPATA18,1.3241504018276695,1.4094051325137675,0.4475856790430474,-0.1002669887407761,2.748567792396116,0.059619181758651,0.3846433927782186,0.4031675046120695,0.5631672034260152,2.25564306160152,0.0025400061205062,0.0177817333634241,True,False,True
SPATA2,0.4436046555717072,0.3138186878917257,0.3968451449389227,-0.8193337097089448,1.706543020852359,0.3450901804272844,0.644270359023888,0.1535049841810922,-0.017456767632535,0.6450941434159865,0.0614987034973517,0.1423421966634161,False,False,True
SPATA20,0.6570196240013461,0.5887187455055538,0.3602658670760097,-0.4895071535945324,1.803546401597225,0.1657063101381544,0.4918529162831975,0.2926919870668867,-0.0966568230069058,1.2740943140180134,0.0822232444973669,0.1761183764796799,True,False,True
SPATA24,0.6895551186483664,0.274903317151647,0.7906586611841321,-1.8266736163776376,3.2057838536743706,0.4473221316650481,0.7179665170834361,0.318501321803,-0.3986404269068186,0.9484470612101128,0.4004487822047605,0.5407086669603046,False,False,True
SPATA2L,0.706887834674111,-0.3224461372557701,0.395174104102832,-0.5507325328717461,1.964508202219968,0.1715951153394018,0.4984162034705038,0.2489301000735802,-0.8441393545183988,0.1992470800068586,0.2110182639784837,0.3452742645496897,False,False,False
SPATA33,1.1572839474946544,1.000010683412151,0.1838748656831284,0.5721120605668443,1.7424558344224643,0.0081020163231272,0.3266802321025554,0.3377816410845721,0.2841753448458547,1.715846021978447,0.009176402183062,0.0390885400547599,True,False,True
SPATA41,0.1933829825559343,0.6085220267732796,0.548302264211732,-1.5515595323633835,1.938325497475252,0.7476423262899554,0.8877659550643667,0.4052306004635253,-0.3171375449846271,1.5341815985311862,0.1695439205412985,0.2946951546250761,False,False,True
SPATA5,0.3960561409090517,-0.1259127987186303,0.286078047806818,-0.5143718853565323,1.3064841671746357,0.2602303955712914,0.5757802703812924,0.2569129567015162,-0.7036887305786045,0.4518631331413437,0.6353454841853359,0.7448182196047317,False,False,False
SPATA5L1,0.8003312230175719,-0.3629161531154778,0.2327085275751922,0.0597488292278894,1.5409136168072544,0.0412600303731155,0.3686041970733504,0.2480488066173198,-0.8998932345794167,0.1740609283484609,0.1676692171352886,0.292475731415843,False,False,False
SPATA6,1.094058928309012,0.9646349149849228,0.1634022566145126,0.5740400204711361,1.6140778361468882,0.0067967603985568,0.3266802321025554,0.3504375154645269,0.2140151838416578,1.7152546461281877,0.0154021316943388,0.0548898262669499,True,False,True
SPATA6L,1.1665826183798125,1.686604390818777,0.3241428341476401,0.1350154534624652,2.1981497832971595,0.0367887894133663,0.360607225681659,0.2864962560975229,1.075665126221386,2.297543655416169,3.0523246431371625e-05,0.0011869085677943,True,False,True
SPATA7,1.203482235884636,1.0201330186900517,0.4718260657064909,-0.2980788836595338,2.705043355428806,0.0838923262847922,0.4118599756888589,0.3318943130689948,0.2728808614514082,1.7673851759286952,0.0127979415714428,0.0486063002055324,True,False,True
SPATC1L,-0.2366102323085497,0.472919176192464,0.3021048771915581,-1.198042782535012,0.7248223179179126,0.4906468552443667,0.7448384604989754,0.2348726827166407,-0.0390332283929731,0.9848715807779012,0.0671315182486473,0.1517238665015894,False,False,False
SPATS2,0.6705129801750205,-0.4002288784964918,0.4790860470348938,-0.8541526401241539,2.195178600474195,0.2561238243208555,0.5723973810249061,0.1139561308831468,-0.6394712128191274,-0.1609865441738561,0.0024583670256174,0.0174819180880029,False,False,False
SPATS2L,0.3609500638075986,-0.4193191781261998,0.1002734379536869,0.0418352316737924,0.6800648959414048,0.0367710968280888,0.360607225681659,0.1404165943382455,-0.7289569158962221,-0.1096814403561774,0.0125746540315369,0.0480794250929558,False,False,False
SPCS1,0.2465459584867013,0.2350790443416075,0.177036908129206,-0.3168644956879415,0.8099564126613442,0.2579990167137854,0.5737854518568604,0.136717175070475,-0.0840085716249793,0.5541666603081945,0.1264399976762135,0.2396269564047398,False,False,True
SPCS2,-0.1804414858758476,0.0347872313777806,0.1181057021170076,-0.5563065412110568,0.1954235694593615,0.2240166882859031,0.5445065410325611,0.0982908054665055,-0.1710390057250504,0.2406134684806116,0.7273229575339879,0.8160047635395388,False,False,False
SPCS3,-0.5142134583581845,-0.2129857068475837,0.1062163826825704,-0.8522413929869312,-0.1761855237294378,0.0168122739494993,0.3329329087570855,0.1200125842141485,-0.4662137199669204,0.0402423062717529,0.0938778979009723,0.1940370738988755,False,False,True
SPDL1,0.6351196323398556,0.2625082236262845,0.4343681399077058,-0.7472336496423795,2.01747291432209,0.2398635118852065,0.5585879134205595,0.4652161489439932,-0.8095056330502441,1.3345220803028133,0.5879730162991879,0.7080650491662954,False,False,True
SPDYA,0.0203884347049511,0.2774787834359298,0.6516220673172906,-2.0533638058702914,2.094140675280194,0.9770044856376978,0.9899967229158692,0.2519659378332695,-0.3021385538955732,0.8570961207674328,0.3023787909463216,0.4451464398276953,False,False,True
SPDYE16,0.1119580738380232,0.2440740584036254,0.2349786109025597,-0.6358487382495258,0.8597648859255723,0.6662979481122931,0.8484968842478052,0.1716461530846311,-0.1156376031065912,0.6037857199138421,0.1715435235581665,0.2967731171951603,False,False,True
SPECC1,1.0414899406978555,-0.6600623454252306,0.1796329903789394,0.4698175941593357,1.6131622872363751,0.0102094927907048,0.3266802321025554,0.2919180984934423,-1.3288402531474737,0.0087155622970124,0.0524233901311846,0.1273384530496064,True,False,False
SPECC1L,-0.3135211392912232,0.3353298968742324,0.5735099648777497,-2.138685808059807,1.5116435294773605,0.6226416589027541,0.823796789434505,0.2089226878234589,-0.1703889695371454,0.8410487632856103,0.1573944415813273,0.2799823233448041,False,False,False
