"dataset","module","genes_detected","case","control","n_case","n_control","hedges_g","median_difference","p","kind"
"GSE36830","LOO:TBX3",37,"CRSwNP_NP","CRSwNP_UT",6,6,-2.04872611577256,-1.37866093526767,0.00865800865800866,"Single-gene leave-one-out"
"GSE136825","LOO:TBX3",39,"CRSwNP_NP","CRSwNP_IT",42,33,-1.45328166599763,-1.03368972624001,2.60613295084284e-07,"Single-gene leave-one-out"
"GSE36830","LOO:GRIA2",37,"CRSwNP_NP","CRSwNP_UT",6,6,-1.96695737253231,-1.32364695174073,0.00865800865800866,"Single-gene leave-one-out"
"GSE136825","LOO:GRIA2",39,"CRSwNP_NP","CRSwNP_IT",42,33,-1.42918246539276,-0.978866507076939,4.09427195973145e-07,"Single-gene leave-one-out"
"GSE36830","LOO:SLCO1A2",37,"CRSwNP_NP","CRSwNP_UT",6,6,-2.01587180176478,-1.31904471583278,0.00865800865800866,"Single-gene leave-one-out"
"GSE136825","LOO:SLCO1A2",39,"CRSwNP_NP","CRSwNP_IT",42,33,-1.42349712564871,-0.998238263166978,4.84120940242171e-07,"Single-gene leave-one-out"
"GSE36830","LOO:AMOTL1",37,"CRSwNP_NP","CRSwNP_UT",6,6,-1.98907296603159,-1.33158841500763,0.00865800865800866,"Single-gene leave-one-out"
"GSE136825","LOO:AMOTL1",39,"CRSwNP_NP","CRSwNP_IT",42,33,-1.4206193338163,-1.02521810778503,4.09427195973145e-07,"Single-gene leave-one-out"
"GSE36830","LOO:RNF128",37,"CRSwNP_NP","CRSwNP_UT",6,6,-1.93606431782153,-1.29142537165458,0.00865800865800866,"Single-gene leave-one-out"
"GSE136825","LOO:RNF128",39,"CRSwNP_NP","CRSwNP_IT",42,33,-1.42186954843216,-1.00078211875252,4.84120940242171e-07,"Single-gene leave-one-out"
"GSE36830","LOO:SOD3",37,"CRSwNP_NP","CRSwNP_UT",6,6,-1.99613422416984,-1.35160761182304,0.00865800865800866,"Single-gene leave-one-out"
"GSE136825","LOO:SOD3",39,"CRSwNP_NP","CRSwNP_IT",42,33,-1.42971148560341,-1.03021736004642,3.6594778022585e-07,"Single-gene leave-one-out"
"GSE36830","LOO:TESC",37,"CRSwNP_NP","CRSwNP_UT",6,6,-2.01212880187543,-1.34511837455769,0.00865800865800866,"Single-gene leave-one-out"
"GSE136825","LOO:TESC",39,"CRSwNP_NP","CRSwNP_IT",42,33,-1.43857965881701,-1.01099245356545,4.32995748059628e-07,"Single-gene leave-one-out"
"GSE36830","LOO:KCNMA1",37,"CRSwNP_NP","CRSwNP_UT",6,6,-1.9325611537733,-1.31901555799329,0.00865800865800866,"Single-gene leave-one-out"
"GSE136825","LOO:KCNMA1",39,"CRSwNP_NP","CRSwNP_IT",42,33,-1.44262821845666,-0.983774882090727,3.87098822911866e-07,"Single-gene leave-one-out"
"GSE36830","LOO:CHST1",37,"CRSwNP_NP","CRSwNP_UT",6,6,-1.98124764872449,-1.3437077465029,0.00865800865800866,"Single-gene leave-one-out"
"GSE136825","LOO:CHST1",39,"CRSwNP_NP","CRSwNP_IT",42,33,-1.44349890185679,-1.03551066017836,3.45914271992223e-07,"Single-gene leave-one-out"
"GSE36830","LOO:SMAD9",37,"CRSwNP_NP","CRSwNP_UT",6,6,-1.94365377797789,-1.30808353446962,0.00865800865800866,"Single-gene leave-one-out"
"GSE136825","LOO:SMAD9",39,"CRSwNP_NP","CRSwNP_IT",42,33,-1.42928424485904,-1.00976464266705,3.87098822911866e-07,"Single-gene leave-one-out"
"GSE36830","LOO:ANO1",37,"CRSwNP_NP","CRSwNP_UT",6,6,-1.9755696538871,-1.29806534515322,0.00865800865800866,"Single-gene leave-one-out"
"GSE136825","LOO:ANO1",39,"CRSwNP_NP","CRSwNP_IT",42,33,-1.42907111874902,-1.00199938330139,4.09427195973145e-07,"Single-gene leave-one-out"
"GSE36830","LOO:RTN1",37,"CRSwNP_NP","CRSwNP_UT",6,6,-1.97280951515917,-1.30689402904526,0.00865800865800866,"Single-gene leave-one-out"
"GSE136825","LOO:RTN1",39,"CRSwNP_NP","CRSwNP_IT",42,33,-1.43851143517991,-0.995509408706826,4.09427195973145e-07,"Single-gene leave-one-out"
"GSE36830","LOO:ST3GAL5",37,"CRSwNP_NP","CRSwNP_UT",6,6,-1.95388989095595,-1.35648460575847,0.00865800865800866,"Single-gene leave-one-out"
"GSE136825","LOO:ST3GAL5",39,"CRSwNP_NP","CRSwNP_IT",42,33,-1.43268908713129,-1.0260622077771,3.6594778022585e-07,"Single-gene leave-one-out"
"GSE36830","LOO:QPRT",37,"CRSwNP_NP","CRSwNP_UT",6,6,-2.00515640607094,-1.29560894832077,0.00865800865800866,"Single-gene leave-one-out"
"GSE136825","LOO:QPRT",39,"CRSwNP_NP","CRSwNP_IT",42,33,-1.43797191507868,-1.01557432528678,3.6594778022585e-07,"Single-gene leave-one-out"
"GSE36830","LOO:PADI2",37,"CRSwNP_NP","CRSwNP_UT",6,6,-1.95865283229728,-1.30074690073836,0.00865800865800866,"Single-gene leave-one-out"
"GSE136825","LOO:PADI2",39,"CRSwNP_NP","CRSwNP_IT",42,33,-1.44658623063795,-1.00209583785245,3.45914271992223e-07,"Single-gene leave-one-out"
"GSE36830","LOO:CHI3L2",37,"CRSwNP_NP","CRSwNP_UT",6,6,-1.9785973713905,-1.35823702305857,0.00865800865800866,"Single-gene leave-one-out"
"GSE136825","LOO:CHI3L2",39,"CRSwNP_NP","CRSwNP_IT",42,33,-1.43664033110948,-1.00090958675414,3.87098822911866e-07,"Single-gene leave-one-out"
