library,direction,term,overlap,query_size,term_size,p,genes,fdr
Reactome_2024,up,Aberrant Regulation of Mitotic Cell Cycle Due to RB1 Defects,5,2300,35,0.6126375344014945,ANAPC10;CDC16;CDC26;E2F1;UBE2C,0.9999999999999972
Reactome_2024,up,Cross-presentation of Soluble Exogenous Antigens (Endosomes),5,2300,35,0.6126375344014945,MRC1;PSMA4;PSMA5;PSMB5;SEM1,0.9999999999999972
Reactome_2024,up,FCERI Mediated MAPK Activation,5,2300,35,0.6126375344014945,FCER1G;MAPK10;MS4A2;PLCG2;SYK,0.9999999999999972
Reactome_2024,up,Interactions of Vpr With Host Cellular Proteins,5,2300,35,0.6126375344014945,NDC1;NUP133;NUP50;NUP93;PSIP1,0.9999999999999972
Reactome_2024,up,Maturation of Spike Protein 9694548,5,2300,35,0.6126375344014945,MGAT4B;MGAT5;ST3GAL2;TUSC3;ZDHHC20,0.9999999999999972
Reactome_2024,up,RHOH GTPase Cycle,5,2300,35,0.6126375344014945,CSK;PAK4;PAK6;STOM;VANGL1,0.9999999999999972
Reactome_2024,up,Ca-dependent Events,4,2300,28,0.6168713422995085,ADCY7;ADCY9;CAMKK2;PRKX,0.9999999999999972
Reactome_2024,up,RNA Polymerase III Transcription Initiation From Type 1 Promoter,4,2300,28,0.6168713422995085,GTF3C2;GTF3C3;POLR2H;POLR3K,0.9999999999999972
Reactome_2024,up,mRNA Capping,4,2300,28,0.6168713422995085,ERCC3;GTF2H5;POLR2H;POLR2I,0.9999999999999972
Reactome_2024,up,HDMs Demethylate Histones,3,2300,21,0.6244132243487495,KDM1B;KDM4B;PHF8,0.9999999999999972
Reactome_2024,up,"Cell Death Signalling via NRAGE, NRIF and NADE",10,2300,71,0.6268145135694851,ABR;ARHGEF10L;ARHGEF16;ARHGEF6;BAD;CASP2;ECT2;PLEKHG5;PSEN2;PSENEN,0.9999999999999972
Reactome_2024,up,Class A 1 (Rhodopsin-like Receptors),18,2300,127,0.6283975653582743,ACKR2;ADRA2A;ADRB1;BDKRB1;C3;C5AR1;CCR10;CYSLTR1;EDN2;FPR3;LTB4R2;NMB;NMU;P2RY2;PTAFR;PTGER1;PTGER2;TACR1,0.9999999999999972
