dataset,donor,disease,tissue,subtype,n_cells,n_secretory_candidates,median_ig_fraction,n_classified_secretory,proportion_of_candidates,proportion_of_classified,proportion,classification_coverage,logit_candidate_fraction
GSE235711,CRSwNP_2,CRSwNP,Ethmoid,Ambiguous_secretory,3,124,0.0,124,0.0241935483870967,0.0241935483870967,0.0241935483870967,1.0,-3.5471512942852352
GSE235711,CRSwNP_2,CRSwNP,Ethmoid,Goblet,1,124,0.0,124,0.0080645161290322,0.0080645161290322,0.0080645161290322,1.0,-4.410776047959867
GSE235711,CRSwNP_2,CRSwNP,Ethmoid,Inflammatory_secretory,26,124,3.4390716615749835e-05,124,0.2096774193548387,0.2096774193548387,0.2096774193548387,1.0,-1.3129118151858667
GSE235711,CRSwNP_2,CRSwNP,Ethmoid,Mucous_glandular,1,124,0.0,124,0.0080645161290322,0.0080645161290322,0.0080645161290322,1.0,-4.410776047959867
GSE235711,CRSwNP_2,CRSwNP,Ethmoid,Serous_glandular,68,124,0.0,124,0.5483870967741935,0.5483870967741935,0.5483870967741935,1.0,0.19259310711578453
GSE235711,CRSwNP_2,CRSwNP,Ethmoid,Surface_club,0,124,,124,0.0,0.0,0.0,1.0,-5.517452896464707
GSE235711,CRSwNP_2,CRSwNP,Ethmoid,Transitional_secretory,25,124,0.0,124,0.2016129032258064,0.2016129032258064,0.2016129032258064,1.0,-1.3614791920001668
GSE235711,CRSwNP_2,CRSwNP,Nasal_polyp,Ambiguous_secretory,20,459,6.800012220834473e-05,459,0.0435729847494553,0.0435729847494553,0.0435729847494553,1.0,-3.0652128309808693
GSE235711,CRSwNP_2,CRSwNP,Nasal_polyp,Goblet,2,459,0.0006556036556036,459,0.0043572984749455,0.0043572984749455,0.0043572984749455,1.0,-5.209486152841421
GSE235711,CRSwNP_2,CRSwNP,Nasal_polyp,Inflammatory_secretory,5,459,0.0002264492753623,459,0.0108932461873638,0.0108932461873638,0.0108932461873638,1.0,-4.414449821379108
GSE235711,CRSwNP_2,CRSwNP,Nasal_polyp,Mucous_glandular,1,459,6.222000995520159e-05,459,0.0021786492374727,0.0021786492374727,0.0021786492374727,1.0,-5.7224951835883555
GSE235711,CRSwNP_2,CRSwNP,Nasal_polyp,Serous_glandular,378,459,0.000110769602264,459,0.8235294117647058,0.8235294117647058,0.8235294117647058,1.0,1.5356130526306864
GSE235711,CRSwNP_2,CRSwNP,Nasal_polyp,Surface_club,1,459,0.0005819028222286,459,0.0021786492374727,0.0021786492374727,0.0021786492374727,1.0,-5.7224951835883555
GSE235711,CRSwNP_2,CRSwNP,Nasal_polyp,Transitional_secretory,52,459,9.85522849263128e-05,459,0.1132897603485838,0.1132897603485838,0.1132897603485838,1.0,-2.0492277630833393
