group,serous,ecm,serous_residual,ecm_residual,dataset
CRSwNP_NP,-1.422433271522666,0.44668630555172656,-0.8364641319127886,-0.015560607789245007,GSE136825
CRSwNP_NP,-0.8768199839296568,1.6140442777677366,-0.29085084431977937,1.151797364426765,GSE136825
CRSwNP_NP,-0.11024794479717129,-0.045585758010113935,0.47572119481270614,-0.5078326713510855,GSE136825
CRSwNP_NP,-0.7023014462742896,0.7402928190559205,-0.11633230666441219,0.2780459057149489,GSE136825
CRSwNP_NP,-0.32969865897114203,1.2763845267390048,0.25627048063873537,0.8141376133980333,GSE136825
CRSwNP_NP,0.5154460720688008,1.3238350564272212,1.1014152116786782,0.8615881430862496,GSE136825
CRSwNP_NP,-0.6299804822103097,0.4831592777854507,-0.04401134260043227,0.020912364444479137,GSE136825
CRSwNP_IT,-0.677666144023975,0.07699862746276889,-0.9391094424427322,0.31015308574263545,GSE136825
CRSwNP_IT,0.8505626882663446,-0.2843260965513194,0.5891193898475873,-0.051171638271452824,GSE136825
CRSwNP_IT,-0.42895197314018274,0.10141088592878861,-0.6903952715589401,0.3345653442086552,GSE136825
CRSwNP_IT,-0.2986449527944508,-0.7998334538795341,-0.5600882512132082,-0.5666789955996675,GSE136825
CRSwNP_IT,0.397571026189266,0.16037337435571528,0.1361277277705087,0.3935278326355819,GSE136825
CRSwNP_IT,-0.6452517222649682,-0.29257378658559846,-0.9066950206837254,-0.05941932830573188,GSE136825
CRSwNP_IT,0.43866274862586163,0.41416637305736903,0.17721945020710433,0.6473208313372356,GSE136825
CRSwNP_IT,0.1014327550847175,0.4861274037951553,-0.1600105433340398,0.7192818620750219,GSE136825
CRSwNP_IT,0.37399035381199375,-0.4106598739949643,0.11254705539323645,-0.1775054157150977,GSE136825
CRSwNP_IT,0.6977738220076433,-0.6247059233789604,0.43633052358888597,-0.3915514650990938,GSE136825
Healthy_IT,1.1900546892107662,-1.045734454436629,0.619230581503771,-0.6271532673978721,GSE136825
Healthy_IT,0.9756650301946959,-0.9410780127865889,0.40484092248770065,-0.522496825747832,GSE136825
Healthy_IT,0.9871845096787097,-1.1686991263563888,0.41636040197171453,-0.750117939317632,GSE136825
Healthy_IT,-0.15218958900718924,-0.8935260050343811,-0.7230136967141845,-0.4749448179956242,GSE136825
Healthy_IT,-0.18108633877626132,0.9432948851855012,-0.7519104464832566,1.361876072224258,GSE136825
CRSwNP_NP,0.2900176602041416,0.024210403991785753,0.875986799814019,-0.4380365093491858,GSE136825
CRSwNP_NP,-0.6201772287723515,0.5078029702137087,-0.03420808916247409,0.045556056872737116,GSE136825
CRSwNP_NP,-0.5715980809919862,1.1921732971910202,0.01437105861789123,0.7299263838500486,GSE136825
CRSwNP_NP,-1.0287374857206153,1.4108521209430755,-0.4427683461107379,0.948605207602104,GSE136825
CRSwNP_NP,-1.310230312606848,0.1163710154310361,-0.7242611729969706,-0.34587589790993545,GSE136825
CRSwNP_NP,-1.0639517703873176,-1.0689012153385529,-0.4779826307774402,-1.5311481286795243,GSE136825
CRSwNP_NP,-0.906411948516026,-0.46726299538880817,-0.3204428089061486,-0.9295099087297798,GSE136825
CRSwNP_NP,-1.1149834109445942,-0.8732724169239787,-0.5290142713347168,-1.3355193302649502,GSE136825
CRSwNP_NP,-1.47265682079373,-0.15415409412869932,-0.8866876811838527,-0.6164010074696709,GSE136825
CRSwNP_NP,-0.041721480391579864,-0.8002125859200703,0.5442476592182975,-1.2624594992610418,GSE136825
CRSwNP_NP,-1.096196701138356,0.03873711426396931,-0.5102275615284786,-0.42350979907700226,GSE136825
CRSwNP_NP,-1.2400687557557952,0.006823940106139989,-0.6540996161459178,-0.45542297323483155,GSE136825
CRSwNP_NP,-0.5746550759588139,-0.3293821638556229,0.011314063651063466,-0.7916290771965945,GSE136825
