source,target,cor_discovery,cor_validation,consensus_weight
GRIA2,FBP1,0.6104916518956484,0.650967382051035,0.630404752836241
KIAA1324,ID4,0.6646146924083046,0.5979348886020637,0.6303937754042741
PLCB1,ALDH9A1,0.5981526567093495,0.664186259209437,0.6303053034014305
ATP2A3,RASAL1,0.6995935128581666,0.5678347758705155,0.630280513401996
TMPRSS5,ELF5,0.6862473227908155,0.5788243892967444,0.6302512891862416
CCL28,CADPS2,0.704822651214242,0.5635586964745024,0.6302451384691524
CADM1,SSR3,0.6896718535523059,0.575806919563222,0.6301728536706503
LIMCH1,MGLL,0.5536179252990324,0.717258319248264,0.6301484448966728
ADGRG2,CADPS2,0.6061238865643572,0.6550693983302797,0.630121583256219
PADI2,ROPN1,0.7344116374424521,0.5406262464302521,0.6301128524996201
DMBT1,SNPH,0.6767258003624672,0.5865862086154848,0.630046047132191
KCNMA1,SAP30BP,0.6793903929028848,0.5841962098839532,0.6299978512387444
LPO,FDCSP,0.6693927106090396,0.592858761036619,0.6299645490490868
DTNB,ATP6V0E2,0.6989723017388402,0.567747571744646,0.6299522418636134
SLITRK5,ID4,0.7348696317205234,0.5399350210225907,0.6299062232204762
PYCR1,OXR1,0.657675880968843,0.6033043339129766,0.6299037301830637
AGFG2,OXR1,0.7185399654186516,0.5520281711962054,0.6298049722266751
NDRG2,AACS,0.7712820824034552,0.5141862763390982,0.6297480940488015
SLC22A3,NPY5R,0.6016318791762922,0.6591334827115445,0.6297266993162673
PADI2,FAHD2A,0.752938294640024,0.5266572350359361,0.6297145388251633
KCNN4,KCNMA1,0.7613855000937735,0.5208066172846574,0.6297099385855565
KCNN4,PIGR,0.7837416327815914,0.5059485043911794,0.6297085889004113
SLITRK5,ANO5,0.6642486331164956,0.596953983110002,0.6297029992895591
NOSTRIN,NPY1R,0.7611422281264933,0.520764166857604,0.6295836706033866
FAHD2A,TMPRSS5,0.7767926526537213,0.5102456137463055,0.6295673465221324
EGF,TNFSF13,0.6535193773154091,0.6064833802515368,0.6295622614278343
NDRG2,ATP6V0E2,0.8247778657171478,0.48054122047562847,0.6295552098211897
FAHD2A,EGF,0.6880514448467516,0.575953614295438,0.6295122846145934
ATP2A3,ADGRG2,0.6589621689345695,0.6010812541068437,0.629356661132745
RNF128,ATP6V0E2,0.6001739176026045,0.659901101777965,0.6293293489774303
ROPN1,TMEM63A,0.5597556699585602,0.7075007606592236,0.6293072081892871
TCN1,KIRREL3,0.6601713991145258,0.5998657738412819,0.6292966130512041
