gene,discovery_module_cor,validation_module_cor,is_locked,same_positive_direction,consensus_degree,consensus_strength
GP2,0.7320513479893062,0.3420792734535732,False,True,45,23.933653244184235
MYBPC1,0.7236546585960559,0.3276432847131847,False,True,45,23.136337806828237
PTH2R,0.6897865694032089,0.5501836969401376,False,True,41,23.55990327816738
SLC37A2,0.635745278649595,0.6354773029520919,True,True,41,23.01377414494323
CHI3L2,0.834633226140313,0.2785680065254683,True,True,40,20.80096510811325
TECPR1,0.6463067231248034,0.6058647277130419,False,True,38,20.626823504514423
DAPK1,0.6821722624654778,0.5071835379416644,False,True,38,19.81461635039977
TBCD,0.6755635740171705,0.3242633867393106,False,True,35,17.584338837285525
CHDH,0.6853049581201882,0.22218509287793514,False,True,35,17.422597104774947
DUSP6,0.6546862491668616,0.5285392680720689,False,True,32,16.91733566657752
ID2,0.6777863057641504,0.5848382378611161,False,True,31,17.573414959029584
RDH11,0.7398406584113264,0.20535664613688884,False,True,31,15.766792101023743
LDLRAD3,0.6292745962032179,0.6270130046160367,False,True,29,15.648838754207693
ITPR2,0.6548418520825879,0.5995441607111667,False,True,29,14.833935174357364
SMPDL3B,0.648675021366273,0.25871915754417796,False,True,29,14.51706587366473
ACVR1C,0.6319428288910897,0.7615836506111379,False,True,28,16.23905594147577
LONRF3,0.6429018405626485,0.5615820879715652,False,True,28,15.646077882228036
NOSTRIN,0.686966830234641,0.6236551106529358,True,True,28,14.644991095824361
C10orf90,0.6818651764261187,0.3325220841769877,False,True,27,13.328904845669625
GLYATL1,0.7396569567212855,0.051525405320606975,False,True,25,12.85274850372696
HM13,0.6440725587383833,0.2791631512954685,False,True,25,12.270440409974647
CAMKK1,0.6603319959011908,0.389757818525873,False,True,24,12.122598282332902
POLR2F,0.6380576530569633,0.2944745725951585,False,True,24,11.82400201693608
DMRTA1,0.7007781421304228,0.22022741493038236,False,True,22,11.393463718696816
CDC42EP1,0.650803782511945,0.539853865110784,False,True,21,10.949389115434865
CSN3,0.6353662731575874,0.5254236631624164,False,True,21,10.728081112566692
KCNAB1,0.6380600754102642,0.34138949951508296,False,True,20,9.741521211035115
RYR2,0.6456253846279171,0.38173425208246914,False,True,20,9.681886672894992
ART3,0.6368987878506516,0.2567463593230484,False,True,20,9.589441319528811
ANGPTL1,0.6754399034694162,0.5167294934714802,False,True,19,9.870533004245898
BARX2,0.627746774081044,0.1095807150600963,False,True,19,9.397959313818223
COLGALT2,0.6658598623070942,0.4365167740549788,False,True,19,9.07511483133901
SMR3A,0.7066997637442428,0.3773501261492888,False,True,15,7.711946103980752
MATN4,0.6527875138918193,0.12466309665395965,False,True,14,6.776864242676412
CRACR2A,0.6847807443330176,0.06699826338485601,False,True,10,4.883539368528528
SH3BGRL2,0.7340825310680111,0.10471248717321933,False,True,8,3.7719755038842147
TESC,0.5702537120448045,0.5295021830186879,True,True,7,3.6972548327166277
ST3GAL5,0.5943233318775558,0.5807801640347476,True,True,6,3.409244777160753
ST3GAL4,0.7325124999693162,0.09523689640217421,False,True,6,3.1075520640409997
PLIN2,0.6503874946913764,0.1820280380844281,False,True,5,2.4997139020627133
GNG7,0.7901800259984348,-0.022760142254828673,False,False,5,2.4533552112247285
MRAS,0.6668669453629474,0.004872286267830663,False,True,3,1.3602553639946238
ARHGEF10L,0.6584848220669983,-0.06114275899399557,False,False,2,0.9737001415821287
TBX3,0.29671086498354204,-0.019248315913749064,True,False,1,0.5993049104030909
SOD3,0.25393188194567434,-0.18420382620932368,True,False,1,0.5993049104030909
TCEAL2,0.5158759790714265,0.7206229845821547,True,True,1,0.5848335561353385
RNASE1,0.5374706422010548,0.5712307410373225,True,True,1,0.5848335561353385
KRT14,0.34038333909505203,0.08183240469713038,True,True,1,0.5616252125946037
MYRIP,0.6413527806992082,0.01687242826740657,False,True,1,0.546037889203449
AMOTL1,0.24476899794822926,0.4369736882270235,True,True,0,0.0
CHST1,0.38401831722978264,0.639202186441033,True,True,0,0.0
QPRT,0.47464512575486484,0.5456864118462665,True,True,0,0.0
