source,target,cor_discovery,cor_validation,is_consensus,consensus_weight
CHRM1,NOSTRIN,0.5284088839896245,0.4324698024645212,False,
CHRM1,C10orf90,0.667672818375881,0.40395439242873216,True,0.5193355058998068
CHRM1,GLYATL1,0.6941193930314642,0.47573314061364497,True,0.5746438886890693
CHRM1,HM13,0.6180749277110358,0.1964600622655693,False,
CHRM1,CAMKK1,0.6465627282582969,0.3919446720215619,True,0.5034052209389215
CHRM1,POLR2F,0.674557900147331,0.3357588988943993,True,0.4759084132414408
CHRM1,DMRTA1,0.6669155430624313,0.0933543493239539,False,
CHRM1,CDC42EP1,0.48769320548455575,0.40626818316946195,False,
CHRM1,CSN3,0.5820147523415466,0.3461375936352669,True,0.44883982202532874
CHRM1,KCNAB1,0.52466516236202,0.4532314414384132,False,
CHRM1,RYR2,0.5498816380228565,0.4597676540314214,False,
CHRM1,ART3,0.6097051085417681,0.45165211166557406,True,0.524761469399362
CHRM1,ANGPTL1,0.5706633508178087,0.19182396036868685,False,
CHRM1,BARX2,0.5816263935987172,0.08436328728631043,False,
CHRM1,COLGALT2,0.5201834522930754,0.25386638669963757,False,
CHRM1,SMR3A,0.6819388003127405,0.07154319436014443,False,
CHRM1,MATN4,0.6285785700783019,0.3261474409110271,True,0.45277951813498685
CHRM1,CRACR2A,0.6810940852243744,-0.002343292341851271,False,
CHRM1,SH3BGRL2,0.7931443463388637,0.1511167263842726,False,
CHRM1,TESC,0.44533311274328213,0.3313015227220119,False,
CHRM1,ST3GAL5,0.4726341546869363,0.3588232830744026,False,
CHRM1,ST3GAL4,0.6658689477013077,0.01612241742320683,False,
CHRM1,PLIN2,0.5824663223069121,0.130905200785143,False,
CHRM1,GNG7,0.6649304745950163,-0.01910901952994252,False,
CHRM1,MRAS,0.4922037725214701,-0.007628431535669474,False,
CHRM1,ARHGEF10L,0.5602183463994952,0.051472486908070596,False,
CHRM1,TBX3,0.10238366717714191,-0.14963348798367684,False,
CHRM1,SOD3,0.14388962652868592,-0.40889832944000537,False,
CHRM1,TCEAL2,0.43189398143309377,0.4601437153798695,False,
CHRM1,RNASE1,0.368526503269907,0.5365985459183135,False,
CHRM1,KRT14,0.34102182773697626,0.1168640893310889,False,
CHRM1,MYRIP,0.5793835819738301,-0.030888996023970425,False,
CHRM1,AMOTL1,0.15206466864193072,0.13600965118728645,False,
CHRM1,CHST1,0.2669893661782458,0.5930490541284011,False,
CHRM1,QPRT,0.31212123030753525,0.3745099454551209,False,
PPP1R1B,KCNN4,0.8743186941833639,0.9278589775494934,True,0.9006910955690548
PPP1R1B,MANSC1,0.7932470010700993,0.7389300721624953,True,0.7656069903961245
PPP1R1B,CCL28,0.8367325763151848,0.8380603868301526,True,0.8373962183937147
PPP1R1B,KCNMA1,0.8228694933376416,0.585746655864254,True,0.694257195810916
PPP1R1B,PHLDA1,0.8153922899078968,0.8338794555431818,True,0.8245840640968665
PPP1R1B,TCN1,0.8885297692212872,0.7680062166392245,True,0.8260728699279284
PPP1R1B,ATP2A3,0.7536033915388142,0.79629689721186,True,0.7746560800837312
PPP1R1B,SLC13A2,0.8837173540979647,0.8048894757727271,True,0.8433829485300093
PPP1R1B,EGF,0.7621081495440332,0.7864677311762601,True,0.7741921384790946
PPP1R1B,GALNT6,0.702008200812086,0.6567873432525396,True,0.6790214290822237
PPP1R1B,KIAA1324,0.7965707230752199,0.8801667791804857,True,0.8373261537289916
PPP1R1B,NRG3,0.7373782104629439,0.7928268165752221,True,0.7646000387217293
PPP1R1B,FAHD2A,0.8026864658950627,0.7746180333029724,True,0.7885273689419707
PPP1R1B,ATP6V0E2,0.7428921886887857,0.7074457239629326,True,0.7249523448153992
PPP1R1B,SLITRK5,0.7510267496317378,0.8371374199612777,True,0.7929139899816482
PPP1R1B,SLC5A1,0.7258241024297193,0.5805721525072622,True,0.6491481044332439
PPP1R1B,ST3GAL6,0.6871537105326002,0.7652362635692171,True,0.7251447703360278
PPP1R1B,ADGRG2,0.7352418104463896,0.8560212227850916,True,0.7933363685228624
PPP1R1B,AZGP1,0.8835022956013758,0.6962062779518894,True,0.7842830131926765
PPP1R1B,MCFD2,0.6449124932055468,0.74364169457465,True,0.6925199053454963
PPP1R1B,SLC22A3,0.7746488344841843,0.789705067413753,True,0.7821407226697239
PPP1R1B,ANO1,0.7178024037022921,0.7339730214755004,True,0.7258426820377458
PPP1R1B,CHRM3,0.8292618551494901,0.5663660600647283,True,0.6853216541617404
PPP1R1B,GALNT13,0.816438188033854,0.7593162398733357,True,0.7873593684124585
PPP1R1B,SLC12A2,0.7207024044160142,0.7409873095252608,True,0.7307744765771508
PPP1R1B,CA2,0.7932575295799258,0.7389944519786785,True,0.7656454227316177
PPP1R1B,CCDC129,0.84132987497996,0.8069158714126629,True,0.8239432196547049
PPP1R1B,LYZ,0.8565153438963367,0.6893942119855501,True,0.7684248307797891
PPP1R1B,BPIFB2,0.7452084575442494,0.7613126482778513,True,0.7532175146211519
PPP1R1B,MPO,0.7781259807363163,0.6342533845455273,True,0.7025162182361461
PPP1R1B,F5,0.7901979992464164,0.7795533597166784,True,0.7848576336852061
PPP1R1B,LPO,0.8249696688418177,0.7234298981908812,True,0.7725333154892423
PPP1R1B,FOLH1,0.7903089621826038,0.7031074896291108,True,0.7454342026172387
PPP1R1B,ALDH18A1,0.5648787573432381,0.7693178231539419,True,0.6592202180949881
PPP1R1B,DEPTOR,0.7574892322227877,0.5011372082764248,True,0.6161217729763981
PPP1R1B,ODAM,0.894862496576028,0.8026749175553857,True,0.8475161831272426
PPP1R1B,PART1,0.7804033079894362,0.7194867120238123,True,0.749326237441227
PPP1R1B,TUSC8,0.7374805722817164,0.5501068551944275,True,0.6369404355078123
PPP1R1B,PYCR1,0.694891669161036,0.6640437549551917,True,0.6792926271326483
PPP1R1B,P4HB,0.595686500573589,0.781445896881895,True,0.6822732383005842
PPP1R1B,ACSL1,0.7100180426069802,0.660673084284017,True,0.6849013141369013
PPP1R1B,SLCO1A2,0.8143589344188703,0.6803647870638186,True,0.7443528350247703
PPP1R1B,PADI2,0.8277293459173307,0.4415558886904924,True,0.6045566697438106
PPP1R1B,OXR1,0.6508356678007093,0.7475682475915408,True,0.6975271174999912
PPP1R1B,RTN1,0.7500768270811625,0.841890610921632,True,0.7946588187326176
PPP1R1B,DMBT1,0.9010113910443821,0.6099940410757188,True,0.7413579293960626
PPP1R1B,AACS,0.6351225335139424,0.7826356587345424,True,0.7050315896425038
PPP1R1B,TNFSF13,0.6213393738795056,0.8248120932891417,True,0.7158828323214069
PPP1R1B,CBS,0.6422839328959024,0.7728467001111283,True,0.7045473852573689
PPP1R1B,SLC31A2,0.6308696816370231,0.804026767734571,True,0.7122051045789783
PPP1R1B,RNF128,0.7144657737145317,0.7676676519531808,True,0.740589132318553
PPP1R1B,ELF5,0.7265706556064092,0.7984118796129904,True,0.76164469591428
PPP1R1B,SLAIN1,0.7331692999751717,0.7511966380699834,True,0.7421282323678787
PPP1R1B,ROPN1,0.7607090009045412,0.7514771163328533,True,0.7560789683413965
PPP1R1B,SEC63,0.6410383931465685,0.7226210056608933,True,0.6806084104114615
PPP1R1B,SAP30BP,0.720946405874855,0.8095852063148051,True,0.7639813772220575
PPP1R1B,CADM1,0.7300539810838053,0.5566612385294202,True,0.6374894142677546
PPP1R1B,SLC39A8,0.7384023194595389,0.579581982042937,True,0.6541900945883097
PPP1R1B,CRISP3,0.7359995949777163,0.6543621391021486,True,0.6939814618186377
PPP1R1B,GPAT2,0.7923217462903223,0.5793740616457104,True,0.6775327802242826
PPP1R1B,MGLL,0.6923813822949448,0.8309628976707427,True,0.7585138362120243
PPP1R1B,FOLR1,0.6997902046234851,0.761734300163699,True,0.7301056100183604
PPP1R1B,SRPRA,0.6684616905864239,0.5466276655194174,True,0.6044829637090031
PPP1R1B,NDRG2,0.8454152147911788,0.553604225494113,True,0.6841238449326333
PPP1R1B,C2orf88,0.6910668278908726,0.738122026177618,True,0.7142070058652114
PPP1R1B,MGAM2,0.8572348176208925,0.5220594257169106,True,0.6689749745631025
PPP1R1B,SLC25A48,0.7369058633940976,0.4067315048446616,True,0.5474694792836728
PPP1R1B,PRSS8,0.6425123129908741,0.6835442822844281,True,0.6627108101142268
PPP1R1B,OGFRL1,0.6796636621344796,0.6873631325161842,True,0.6835025558563607
PPP1R1B,PIGR,0.7234484135483894,0.6301256590479368,True,0.6751765757002854
PPP1R1B,TMPRSS5,0.8202186493464445,0.5715607759895606,True,0.6846932215974999
PPP1R1B,AGFG2,0.7195426073629358,0.5991654439896579,True,0.6566011466713179
PPP1R1B,C6orf58,0.7646672805831506,0.649614288877142,True,0.7047969861624278
PPP1R1B,DYNC1I1,0.722925505979146,0.7694028100832204,True,0.7458021961493468
PPP1R1B,PLCB1,0.7238640899901433,0.6007047342427255,True,0.6594153363437807
PPP1R1B,CD46,0.5646650792302371,0.7876498047970761,True,0.6669020463542017
PPP1R1B,TMEM63A,0.6386435448108229,0.6742751450289387,True,0.656217546854024
PPP1R1B,LRP6,0.6716932643574124,0.6893886561349796,True,0.6804834434799086
PPP1R1B,LIMCH1,0.6482444654946528,0.8086052557559203,True,0.7239985371626545
PPP1R1B,SSR3,0.5884982341582412,0.5745282880039606,True,0.5814713088057641
PPP1R1B,DLX6-AS1,0.7478524073008126,0.5381765764027872,True,0.6344104729713517
PPP1R1B,KANK4,0.7296799908199056,0.7863292687743647,True,0.7574752363085552
PPP1R1B,GRIA2,0.8338826977476715,0.6256361689274822,True,0.72229299896494
